repetition,scenario_id,treatment_id,statement_index,statement_label,phase,seconds
2,sweep_001,B1,0,staging_views,harness,10.435
2,sweep_001,B1,1,insert_overwrite_all_states,write,10.056
2,sweep_001,B1,2,verify_state,verification,6.671
2,sweep_001,B2,0,staging_views,harness,10.518
2,sweep_001,B2,1,insert_overwrite_selection,write,9.405
2,sweep_001,B2,2,expire_snapshots,maintenance,14.039
2,sweep_001,B2,3,verify_state,verification,5.737
2,sweep_001,B3,0,staging_views,harness,17.760
2,sweep_001,B3,1,insert_store_rows,write,5.597
2,sweep_001,B3,2,merge_serving_dirty_cells,write,10.374
2,sweep_001,B3,3,expire_snapshots_store,maintenance,12.088
2,sweep_001,B3,4,expire_snapshots_serving,maintenance,7.61
2,sweep_001,B3,5,verify_state,verification,4.855
2,sweep_002,B0,0,staging_views,harness,10.450
2,sweep_002,B0,1,merge_revision,write,10.682
2,sweep_002,B0,2,expire_snapshots,maintenance,15.336
2,sweep_002,B0,3,verify_state,verification,5.854
2,sweep_002,B1,0,staging_views,harness,10.540
2,sweep_002,B1,1,insert_overwrite_all_states,write,10.012
2,sweep_002,B1,2,verify_state,verification,6.695
2,sweep_002,B2,0,staging_views,harness,10.530
2,sweep_002,B2,1,insert_overwrite_selection,write,9.408
2,sweep_002,B2,2,expire_snapshots,maintenance,13.07
2,sweep_002,B2,3,verify_state,verification,5.322
2,sweep_002,B3,0,staging_views,harness,10.384
2,sweep_002,B3,1,insert_store_rows,write,5.123
2,sweep_002,B3,2,merge_serving_dirty_cells,write,9.811
2,sweep_002,B3,3,expire_snapshots_store,maintenance,12.912
2,sweep_002,B3,4,expire_snapshots_serving,maintenance,8.815
2,sweep_002,B3,5,verify_state,verification,4.68
2,sweep_004,B0,0,staging_views,harness,10.772
2,sweep_004,B0,1,merge_revision,write,10.283
2,sweep_004,B0,2,expire_snapshots,maintenance,14.579
2,sweep_004,B0,3,verify_state,verification,5.414
2,sweep_004,B1,0,staging_views,harness,9.952
2,sweep_004,B1,1,insert_overwrite_all_states,write,9.425
2,sweep_004,B1,2,verify_state,verification,7.122
2,sweep_004,B2,0,staging_views,harness,10.282
2,sweep_004,B2,1,insert_overwrite_selection,write,9.53
2,sweep_004,B2,2,expire_snapshots,maintenance,13.519
2,sweep_004,B2,3,verify_state,verification,5.579
2,sweep_004,B3,0,staging_views,harness,18.104
2,sweep_004,B3,1,insert_store_rows,write,5.877
2,sweep_004,B3,2,merge_serving_dirty_cells,write,10.865
2,sweep_004,B3,3,expire_snapshots_store,maintenance,12.563
2,sweep_004,B3,4,expire_snapshots_serving,maintenance,7.615
2,sweep_004,B3,5,verify_state,verification,4.956
2,sweep_008,B0,0,staging_views,harness,10.048
2,sweep_008,B0,1,merge_revision,write,10.018
2,sweep_008,B0,2,expire_snapshots,maintenance,13.668
2,sweep_008,B0,3,verify_state,verification,5.106
2,sweep_008,B1,0,staging_views,harness,10.461
2,sweep_008,B1,1,insert_overwrite_all_states,write,9.911
2,sweep_008,B1,2,verify_state,verification,6.619
2,sweep_008,B2,0,staging_views,harness,10.524
2,sweep_008,B2,1,insert_overwrite_selection,write,9.644
2,sweep_008,B2,2,expire_snapshots,maintenance,13.555
2,sweep_008,B2,3,verify_state,verification,6.114
2,sweep_008,B3,0,staging_views,harness,10.479
2,sweep_008,B3,1,insert_store_rows,write,5.23
2,sweep_008,B3,2,merge_serving_dirty_cells,write,9.519
2,sweep_008,B3,3,expire_snapshots_store,maintenance,11.715
2,sweep_008,B3,4,expire_snapshots_serving,maintenance,8.232
2,sweep_008,B3,5,verify_state,verification,4.487
2,sweep_016,B0,0,staging_views,harness,11.197
2,sweep_016,B0,1,merge_revision,write,11.262
2,sweep_016,B0,2,expire_snapshots,maintenance,14.333
2,sweep_016,B0,3,verify_state,verification,5.606
2,sweep_016,B1,0,staging_views,harness,10.144
2,sweep_016,B1,1,insert_overwrite_all_states,write,10.609
2,sweep_016,B1,2,verify_state,verification,6.944
2,sweep_016,B2,0,staging_views,harness,10.570
2,sweep_016,B2,1,insert_overwrite_selection,write,9.135
2,sweep_016,B2,2,expire_snapshots,maintenance,14.391
2,sweep_016,B2,3,verify_state,verification,6.353
2,sweep_016,B3,0,staging_views,harness,10.576
2,sweep_016,B3,1,insert_store_rows,write,5.167
2,sweep_016,B3,2,merge_serving_dirty_cells,write,10.254
2,sweep_016,B3,3,expire_snapshots_store,maintenance,12.953
2,sweep_016,B3,4,expire_snapshots_serving,maintenance,9.143
2,sweep_016,B3,5,verify_state,verification,4.906
2,sweep_038,B0,0,staging_views,harness,10.373
2,sweep_038,B0,1,merge_revision,write,11.081
2,sweep_038,B0,2,expire_snapshots,maintenance,15.013
2,sweep_038,B0,3,verify_state,verification,5.853
2,sweep_038,B1,0,staging_views,harness,10.813
2,sweep_038,B1,1,insert_overwrite_all_states,write,9.766
2,sweep_038,B1,2,verify_state,verification,7.208
2,sweep_038,B2,0,staging_views,harness,11.196
2,sweep_038,B2,1,insert_overwrite_selection,write,9.478
2,sweep_038,B2,2,expire_snapshots,maintenance,13.729
2,sweep_038,B2,3,verify_state,verification,5.72
2,sweep_038,B3,0,staging_views,harness,10.315
2,sweep_038,B3,1,insert_store_rows,write,5.025
2,sweep_038,B3,2,merge_serving_dirty_cells,write,9.819
2,sweep_038,B3,3,expire_snapshots_store,maintenance,12.225
2,sweep_038,B3,4,expire_snapshots_serving,maintenance,7.733
2,sweep_038,B3,5,verify_state,verification,4.306
3,sweep_001,B0,0,staging_views,harness,10.361
3,sweep_001,B0,1,merge_revision,write,10.665
3,sweep_001,B0,2,expire_snapshots,maintenance,13.987
3,sweep_001,B0,3,verify_state,verification,5.761
3,sweep_001,B1,0,staging_views,harness,10.230
3,sweep_001,B1,1,insert_overwrite_all_states,write,9.625
3,sweep_001,B1,2,verify_state,verification,6.825
3,sweep_001,B2,0,staging_views,harness,10.511
3,sweep_001,B2,1,insert_overwrite_selection,write,9.998
3,sweep_001,B2,2,expire_snapshots,maintenance,14.618
3,sweep_001,B2,3,verify_state,verification,5.906
3,sweep_001,B3,0,staging_views,harness,13.236
3,sweep_001,B3,1,insert_store_rows,write,10.713
3,sweep_001,B3,2,merge_serving_dirty_cells,write,10.301
3,sweep_001,B3,3,expire_snapshots_store,maintenance,13.501
3,sweep_001,B3,4,expire_snapshots_serving,maintenance,8.602
3,sweep_001,B3,5,verify_state,verification,5.867
3,sweep_002,B0,0,staging_views,harness,10.526
3,sweep_002,B0,1,merge_revision,write,10.318
3,sweep_002,B0,2,expire_snapshots,maintenance,14.129
3,sweep_002,B0,3,verify_state,verification,5.557
3,sweep_002,B1,0,staging_views,harness,10.386
3,sweep_002,B1,1,insert_overwrite_all_states,write,10.386
3,sweep_002,B1,2,verify_state,verification,7.202
3,sweep_002,B2,0,staging_views,harness,10.852
3,sweep_002,B2,1,insert_overwrite_selection,write,9.685
3,sweep_002,B2,2,expire_snapshots,maintenance,13.903
3,sweep_002,B2,3,verify_state,verification,6.57
3,sweep_002,B3,0,staging_views,harness,10.796
3,sweep_002,B3,1,insert_store_rows,write,5.485
3,sweep_002,B3,2,merge_serving_dirty_cells,write,10.612
3,sweep_002,B3,3,expire_snapshots_store,maintenance,12.864
3,sweep_002,B3,4,expire_snapshots_serving,maintenance,8.602
3,sweep_002,B3,5,verify_state,verification,4.962
3,sweep_004,B0,0,staging_views,harness,10.584
3,sweep_004,B0,1,merge_revision,write,10.995
3,sweep_004,B0,2,expire_snapshots,maintenance,13.828
3,sweep_004,B0,3,verify_state,verification,5.668
3,sweep_004,B1,0,staging_views,harness,10.980
3,sweep_004,B1,1,insert_overwrite_all_states,write,10.181
3,sweep_004,B1,2,verify_state,verification,7.322
3,sweep_004,B2,0,staging_views,harness,11.623
3,sweep_004,B2,1,insert_overwrite_selection,write,10.353
3,sweep_004,B2,2,expire_snapshots,maintenance,14.284
3,sweep_004,B2,3,verify_state,verification,5.99
3,sweep_004,B3,0,staging_views,harness,10.908
3,sweep_004,B3,1,insert_store_rows,write,5.249
3,sweep_004,B3,2,merge_serving_dirty_cells,write,10.425
3,sweep_004,B3,3,expire_snapshots_store,maintenance,14.042
3,sweep_004,B3,4,expire_snapshots_serving,maintenance,9.16
3,sweep_004,B3,5,verify_state,verification,4.669
3,sweep_008,B0,0,staging_views,harness,10.844
3,sweep_008,B0,1,merge_revision,write,11.09
3,sweep_008,B0,2,expire_snapshots,maintenance,13.933
3,sweep_008,B0,3,verify_state,verification,5.404
3,sweep_008,B1,0,staging_views,harness,10.197
3,sweep_008,B1,1,insert_overwrite_all_states,write,9.785
3,sweep_008,B1,2,verify_state,verification,6.939
3,sweep_008,B2,0,staging_views,harness,10.466
3,sweep_008,B2,1,insert_overwrite_selection,write,9.861
3,sweep_008,B2,2,expire_snapshots,maintenance,14.377
3,sweep_008,B2,3,verify_state,verification,6.027
3,sweep_008,B3,0,staging_views,harness,10.460
3,sweep_008,B3,1,insert_store_rows,write,5.549
3,sweep_008,B3,2,merge_serving_dirty_cells,write,10.057
3,sweep_008,B3,3,expire_snapshots_store,maintenance,12.211
3,sweep_008,B3,4,expire_snapshots_serving,maintenance,8.037
3,sweep_008,B3,5,verify_state,verification,4.856
3,sweep_016,B0,0,staging_views,harness,10.186
3,sweep_016,B0,1,merge_revision,write,10.659
3,sweep_016,B0,2,expire_snapshots,maintenance,14.497
3,sweep_016,B0,3,verify_state,verification,5.498
3,sweep_016,B1,0,staging_views,harness,11.179
3,sweep_016,B1,1,insert_overwrite_all_states,write,10.247
3,sweep_016,B1,2,verify_state,verification,7.608
3,sweep_016,B2,0,staging_views,harness,10.523
3,sweep_016,B2,1,insert_overwrite_selection,write,9.899
3,sweep_016,B2,2,expire_snapshots,maintenance,14.185
3,sweep_016,B2,3,verify_state,verification,6.38
3,sweep_016,B3,0,staging_views,harness,10.704
3,sweep_016,B3,1,insert_store_rows,write,5.605
3,sweep_016,B3,2,merge_serving_dirty_cells,write,9.956
3,sweep_016,B3,3,expire_snapshots_store,maintenance,12.327
3,sweep_016,B3,4,expire_snapshots_serving,maintenance,8.433
3,sweep_016,B3,5,verify_state,verification,5.099
3,sweep_038,B0,0,staging_views,harness,10.566
3,sweep_038,B0,1,merge_revision,write,10.469
3,sweep_038,B0,2,expire_snapshots,maintenance,13.15
3,sweep_038,B0,3,verify_state,verification,5.58
3,sweep_038,B1,0,staging_views,harness,10.944
3,sweep_038,B1,1,insert_overwrite_all_states,write,10.385
3,sweep_038,B1,2,verify_state,verification,7.319
3,sweep_038,B2,0,staging_views,harness,10.532
3,sweep_038,B2,1,insert_overwrite_selection,write,9.392
3,sweep_038,B2,2,expire_snapshots,maintenance,13.595
3,sweep_038,B2,3,verify_state,verification,5.861
3,sweep_038,B3,0,staging_views,harness,10.275
3,sweep_038,B3,1,insert_store_rows,write,5.354
3,sweep_038,B3,2,merge_serving_dirty_cells,write,10.444
3,sweep_038,B3,3,expire_snapshots_store,maintenance,13.511
3,sweep_038,B3,4,expire_snapshots_serving,maintenance,8.235
3,sweep_038,B3,5,verify_state,verification,4.698
