indicator_key,domain,sdg_code,proposed_geographies,proposed_sources,webapi_domain_id,webapi_variable_ids,verified_geographies,period_start,period_end,period_gaps,observed_cells,last_update,tpb_publication_year,tpb_table_or_page,derived_status,status_reason,derived_risk_flags,producer
sdg04_basic_services,education,4.a.1,national;province,bps_tpb_2024,0000,1794;1797;1798,national,2015,2023,,72,2024-04-22 09:42:23,2024,Indikator 4.a.1 (p. 52-53),partial,geography_shortfall,geography_shortfall;multi_variable;webapi_found_unproposed,Kemendikbud/Dapodik
sdg06_drinking_water,environment,6.1.1,national;province;regency,bps_webapi;bps_tpb_2024,0000,845,national;province,2021,2025,,183,2025-12-16 10:31:12,2024,Indikator 6.1.1 (p. 70),partial,geography_shortfall,geography_shortfall;short_series,Badan Pusat Statistik/Susenas
sdg06_sanitation,environment,6.2.1a,national;province;regency,bps_webapi;bps_tpb_2024,0000,847,national;province,2015,2025,,393,2025-12-16 14:31:07,2024,Indikator 6.2.1(a) (p. 69-70),partial,geography_shortfall,geography_shortfall,Badan Pusat Statistik/Susenas
sdg06_handwashing,environment,6.2.1b,national;province,bps_tpb_2024;bps_webapi,0000,1273,national;province,2016,2025,,358,2026-07-06 15:13:09,2024,Indikator 6.2.1(b) (p. 70),verified,free_source_confirmed_full_geography,,Badan Pusat Statistik/Susenas
sdg06_water_source,environment,,national;province;regency,bps_webapi,,,,,,,0,,,,unavailable,no_exact_free_series_confirmed,,
sdg07_electricity_access,energy,7.1.1,national;province,bps_webapi;bps_tpb_2024,0000,1155;2832,national;province;regency,2015,2025,,2761,2026-08-29 08:15:47,2024,Indikator 7.1.1; Gambar 7.1 (p. 78),verified,free_source_confirmed_full_geography,multi_variable,Badan Pusat Statistik; ESDM
sdg07_clean_cooking,energy,7.1.2,national;province,bps_tpb_2024;bps_webapi,0000,150,national;province,2015,2025,2017,1770,2025-12-17 09:56:02,2024,Indikator 7.1.2 (p. 79-80),partial,derivation_required,derivation_required;period_gap,Badan Pusat Statistik; ESDM
sdg07_renewable_share,energy,7.2.1,national,bps_tpb_2024,0000,1824,national,2015,2023,,8,2024-05-06 12:48:56,2024,Indikator 7.2.1; Gambar 7.5 (p. 80),verified,free_source_confirmed_full_geography,webapi_found_unproposed,ESDM
sdg07_energy_intensity,energy,7.3.1,national,bps_tpb_2024,0000,1808,national,2015,2023,,7,2024-05-06 12:49:20,2024,Indikator 7.3.1; Gambar 7.6 (p. 81),verified,free_source_confirmed_full_geography,webapi_found_unproposed,ESDM
sdg08_gdp_per_capita_growth,economy,8.1.1,national;province,bps_webapi;bps_tpb_2024,0000,296,national;province,2015,2025,,397,2026-02-19 10:27:53,2024,Indikator 8.1.1; Gambar 8.2 (p. 86),verified,free_source_confirmed_full_geography,,Badan Pusat Statistik
sdg08_productivity_growth,economy,8.2.1,national;province,bps_webapi;bps_tpb_2024,0000,1161,national;province,2015,2025,,390,2026-07-06 15:43:29,2024,Indikator 8.2.1; Gambar 8.3 (p. 86),verified,free_source_confirmed_full_geography,,Badan Pusat Statistik
sdg08_unemployment,economy,8.5.2,national;province;regency,bps_webapi;bps_tpb_2024,0000,543,national;province,2015,2026,,825,2026-05-06 15:41:30,2024,Indikator 8.5.2 (p. 89),partial,geography_shortfall,geography_shortfall;subannual_periods,Badan Pusat Statistik
sdg08_labor_force_participation,economy,,national;province;regency,bps_webapi,0000,2396,national;province,2021,2026,,405,2026-07-16 09:20:30,,,partial,geography_shortfall,geography_shortfall;short_series;subannual_periods,Badan Pusat Statistik
sdg08_informal_employment,economy,8.3.1,national;province,bps_webapi;bps_tpb_2024,0000,2153,national;province,2018,2025,,288,2026-07-07 15:13:52,2024,Indikator 8.3.1; Gambar 8.4 (p. 87),verified,free_source_confirmed_full_geography,,Badan Pusat Statistik
sdg08_hourly_wage,economy,8.5.1,national;province,bps_webapi;bps_tpb_2024,0000,1172,national;province,2015,2025,,393,2025-12-02 09:19:39,2024,Indikator 8.5.1; Gambar 8.8 (p. 88),verified,free_source_confirmed_full_geography,,Badan Pusat Statistik
sdg08_neet,economy,8.6.1,national;province,bps_tpb_2024;bps_webapi,0000,1186,national;province,2015,2025,,393,2026-02-24 13:59:30,2024,Indikator 8.6.1 (p. 90),verified,free_source_confirmed_full_geography,,Badan Pusat Statistik
sdg08_financial_access,economy,8.10.1,national;province,bps_tpb_2024,,,national,2018,2022,,0,,2024,Indikator 8.10.1; Gambar 8.20-8.21 (p. 93),partial,geography_shortfall,geography_shortfall;short_series,Bank Indonesia
sdg15_forest_cover,ecology,15.1.1,national;province,bps_tpb_2024;bps_webapi,0000,1304,national;province,2015,2023,,525,2026-08-28 08:53:14,2024,Indikator 15.1.1; Gambar 15.1 (p. 162),partial,derivation_required,derivation_required,KLHK
sdg15_protected_biodiversity,ecology,15.1.2,national;province,bps_tpb_2024,,,,,,,0,,,,unavailable,no_exact_free_series_confirmed,,
sdg15_degraded_land,ecology,15.3.1,national;province,bps_tpb_2024,,,national,2018,2022,,0,,2024,Indikator 15.3.1; Gambar 15.4 (p. 163),partial,geography_shortfall,geography_shortfall;short_series,KLHK
sdg15_conservation_area,ecology,,national;province,bps_webapi;bps_tpb_2024,0000,1304,national;province,2015,2023,2019;2020;2021;2022,525,2026-08-28 08:53:14,,,partial,derivation_required,derivation_required;period_gap,KLHK
sdg15_land_cover_change,ecology,,national;province,bps_webapi;bps_tpb_2024,0000,1304,national;province,2015,2023,2019;2020;2021;2022,525,2026-08-28 08:53:14,,,partial,derivation_required,derivation_required;period_gap,KLHK
sdg15_sustainable_forest,ecology,15.2.1,national;province,bps_tpb_2024,,,,,,,0,,,,unavailable,no_exact_free_series_confirmed,,
sdg15_red_list,ecology,15.5.1,national,bps_tpb_2024,,,national,2018,2022,,0,,2024,Indikator 15.5.1; Gambar 15.7 (p. 164),verified,free_source_confirmed_full_geography,short_series,KLHK
