impact_audit_id,arrival_order,arrival_vintage_id,observation_id,observation_cell_id,reported_cell_id,reported_lineage_edge_id,recomputed_cell_id,recomputed_lineage_edge_id,store_arrival_order,arrival_node_id,arrival_recompute_edge_id,impact_match
impact:bcb1ffc9cece9519b6f8,1,aa7252a58f41161c17c3,f831d08aa91c95864cd0,05ae4dff5d60b5021813,05ae4dff5d60b5021813,edge:cc77a66c956ab4f1ab7e,05ae4dff5d60b5021813,edge:cc77a66c956ab4f1ab7e,1,arrival_batch:c80a5c25ce9d6e1464a4,edge:ef3e7a1051e84e18d6b6,yes
impact:81f31eab0d49c42a700d,2,9ab2011a3892edfac889,1721995859418ecf608c,3087bf08970908c509ca,3087bf08970908c509ca,edge:c4a9eed82d0c716ef665,3087bf08970908c509ca,edge:c4a9eed82d0c716ef665,2,arrival_batch:2bebd7b59c929b5f9501,edge:517e8f99318fa452a3e6,yes
impact:cfdd118acc8d3f0bb108,2,9ab2011a3892edfac889,356dadeceba952eb2a0c,e33e2f8351747300cba7,e33e2f8351747300cba7,edge:03cc979a520aca340bfc,e33e2f8351747300cba7,edge:03cc979a520aca340bfc,2,arrival_batch:2bebd7b59c929b5f9501,edge:bef2f13f57ecec116cdf,yes
impact:2812918515c440042485,2,9ab2011a3892edfac889,463dda3fe5140e2fbed2,7c1c5248808f73b2f3a6,7c1c5248808f73b2f3a6,edge:e2b93b6060b08a415bc7,7c1c5248808f73b2f3a6,edge:e2b93b6060b08a415bc7,2,arrival_batch:2bebd7b59c929b5f9501,edge:77cdde8e15ab9b500b79,yes
impact:5a788b7e4c41f39b9e97,2,9ab2011a3892edfac889,5fab5a82719cacffcbe4,1c03a76cb6a98f53235d,1c03a76cb6a98f53235d,edge:111a700f07af74b8b8cc,1c03a76cb6a98f53235d,edge:111a700f07af74b8b8cc,2,arrival_batch:2bebd7b59c929b5f9501,edge:83ba49cd0407186ab308,yes
impact:cb0a993574f017c1dd2d,2,9ab2011a3892edfac889,69745dd19d776c69570e,425bfdd5ca02ab3e3cc1,425bfdd5ca02ab3e3cc1,edge:8ff700679e93749b490d,425bfdd5ca02ab3e3cc1,edge:8ff700679e93749b490d,2,arrival_batch:2bebd7b59c929b5f9501,edge:920f1f6caeed1382cdf7,yes
impact:25ce54e3df94ff88510c,2,9ab2011a3892edfac889,69a1ecde0bf18c3a84ae,af12d1ae8c1555d899be,af12d1ae8c1555d899be,edge:e4022255048e6dabb39d,af12d1ae8c1555d899be,edge:e4022255048e6dabb39d,2,arrival_batch:2bebd7b59c929b5f9501,edge:e9d7724da7a6682d61a8,yes
impact:4a3c761488dfae92a3cb,2,9ab2011a3892edfac889,74fed6e1c3d917191be6,53b2a1ef09a68d6c5173,53b2a1ef09a68d6c5173,edge:e3f0ce5d4bc903d0bfbf,53b2a1ef09a68d6c5173,edge:e3f0ce5d4bc903d0bfbf,2,arrival_batch:2bebd7b59c929b5f9501,edge:c782d89d7e278919abe5,yes
impact:495b19974f6de16350a3,2,9ab2011a3892edfac889,ad8a7f5c7869af674e3a,05ae4dff5d60b5021813,05ae4dff5d60b5021813,edge:6850c65ba54d2d6298ae,05ae4dff5d60b5021813,edge:6850c65ba54d2d6298ae,2,arrival_batch:2bebd7b59c929b5f9501,edge:ef5f4955da25b7d7af46,yes
impact:d6ed738e0c0b33e01a6f,2,9ab2011a3892edfac889,bc696217068415ca73e2,4aab4307f4906503d2a4,4aab4307f4906503d2a4,edge:66e96e602d8a04d45ad0,4aab4307f4906503d2a4,edge:66e96e602d8a04d45ad0,2,arrival_batch:2bebd7b59c929b5f9501,edge:7d884de8050c1dbf245a,yes
impact:f3d8fcbcecc100399cff,2,9ab2011a3892edfac889,cfe502c53f19a90449e6,94651a48df17d3b56a1b,94651a48df17d3b56a1b,edge:21706f3202685dc5f05d,94651a48df17d3b56a1b,edge:21706f3202685dc5f05d,2,arrival_batch:2bebd7b59c929b5f9501,edge:8276a6eab7d232010083,yes
impact:b007fc83faba95423200,2,9ab2011a3892edfac889,d99bc3566095bc6ee582,7e097ceb497e25947325,7e097ceb497e25947325,edge:718341a02f1381ec6079,7e097ceb497e25947325,edge:718341a02f1381ec6079,2,arrival_batch:2bebd7b59c929b5f9501,edge:3069bc3cb0d35148b61f,yes
impact:0709ccee88bf78047811,2,9ab2011a3892edfac889,deabb3549fa520121850,71a013b45f47a8aefa7d,71a013b45f47a8aefa7d,edge:f6af64e78d995a29282f,71a013b45f47a8aefa7d,edge:f6af64e78d995a29282f,2,arrival_batch:2bebd7b59c929b5f9501,edge:0698de1653c0999a6780,yes
impact:c3d09408656ef6e838df,2,9ab2011a3892edfac889,edde0b27f2f31f5fb962,5b5eeef107bb6f124496,5b5eeef107bb6f124496,edge:f68153b64c023f03e6f0,5b5eeef107bb6f124496,edge:f68153b64c023f03e6f0,2,arrival_batch:2bebd7b59c929b5f9501,edge:b29bc32678978eeb548c,yes
impact:151fcaddfac51244a13b,2,9ab2011a3892edfac889,f2b9db071dd4766d6307,e4982bb0d13ac08094aa,e4982bb0d13ac08094aa,edge:984d94cd51c202b80a3b,e4982bb0d13ac08094aa,edge:984d94cd51c202b80a3b,2,arrival_batch:2bebd7b59c929b5f9501,edge:c0cb15eee8d69b90d240,yes
impact:daa79e369c3e88fdbd82,3,b132d2fab33291e0733e,09bd4158de9b28a03d83,1c03a76cb6a98f53235d,1c03a76cb6a98f53235d,edge:0b68d711a0ea7d53c21b,1c03a76cb6a98f53235d,edge:0b68d711a0ea7d53c21b,3,arrival_batch:c320a1dbe186156ea7d7,edge:05c223083c9a1887a09e,yes
impact:d877fff9b93c392b4211,3,b132d2fab33291e0733e,49b82f2b710bfb946f9f,e4982bb0d13ac08094aa,e4982bb0d13ac08094aa,edge:c6fd3b3ba2ab84a177ae,e4982bb0d13ac08094aa,edge:c6fd3b3ba2ab84a177ae,3,arrival_batch:c320a1dbe186156ea7d7,edge:a41b7fdd0c05ca60d7cd,yes
impact:6593a86b57938196ee08,3,b132d2fab33291e0733e,4af2e0e7825c9f2ac443,71a013b45f47a8aefa7d,71a013b45f47a8aefa7d,edge:89cbaef1797c7e6e77dc,71a013b45f47a8aefa7d,edge:89cbaef1797c7e6e77dc,3,arrival_batch:c320a1dbe186156ea7d7,edge:bd0084acf51be5134c6f,yes
impact:2817cfdbd56098650e3a,3,b132d2fab33291e0733e,506a60e86fb32d9c608b,e33e2f8351747300cba7,e33e2f8351747300cba7,edge:aa7235033e296af44a2b,e33e2f8351747300cba7,edge:aa7235033e296af44a2b,3,arrival_batch:c320a1dbe186156ea7d7,edge:3c77ebf6a0b9ff6770be,yes
impact:d4440711eb29d9f0511e,3,b132d2fab33291e0733e,87cdfc70ee6d45666fec,425bfdd5ca02ab3e3cc1,425bfdd5ca02ab3e3cc1,edge:d46fd9ade8f77a02e18a,425bfdd5ca02ab3e3cc1,edge:d46fd9ade8f77a02e18a,3,arrival_batch:c320a1dbe186156ea7d7,edge:306aecb19205da874cb4,yes
impact:f49a03d0bb07b8925ee4,3,b132d2fab33291e0733e,b55b4fefc9148be667c1,94651a48df17d3b56a1b,94651a48df17d3b56a1b,edge:94a2dbb9883a00825d75,94651a48df17d3b56a1b,edge:94a2dbb9883a00825d75,3,arrival_batch:c320a1dbe186156ea7d7,edge:ec0111a216e05009ba13,yes
impact:e8195635e3761a60e600,3,b132d2fab33291e0733e,cb0d5147421c66597d95,7c1c5248808f73b2f3a6,7c1c5248808f73b2f3a6,edge:fb10d1507128aa608d3b,7c1c5248808f73b2f3a6,edge:fb10d1507128aa608d3b,3,arrival_batch:c320a1dbe186156ea7d7,edge:d10174bf1cef25a0d6c8,yes
impact:38581345aab2531d4942,3,b132d2fab33291e0733e,d3d17696ddd6a7bcb743,af12d1ae8c1555d899be,af12d1ae8c1555d899be,edge:0ebd489b721451dc03bc,af12d1ae8c1555d899be,edge:0ebd489b721451dc03bc,3,arrival_batch:c320a1dbe186156ea7d7,edge:9a192f4dfa010d4a35a4,yes
impact:b898cf61b7d27c3777fb,3,b132d2fab33291e0733e,df8ae4a2843995c9185d,3087bf08970908c509ca,3087bf08970908c509ca,edge:e92e4c71290275321795,3087bf08970908c509ca,edge:e92e4c71290275321795,3,arrival_batch:c320a1dbe186156ea7d7,edge:7bb2a4df381e1fbba4e7,yes
impact:126c1567841be756e7c7,3,b132d2fab33291e0733e,e06e475e6f5cb8748897,4aab4307f4906503d2a4,4aab4307f4906503d2a4,edge:cb3b0bc6bb10cbc7a1af,4aab4307f4906503d2a4,edge:cb3b0bc6bb10cbc7a1af,3,arrival_batch:c320a1dbe186156ea7d7,edge:5025d67cbd84d3c46f85,yes
