scenario_order,scenario_id,treatment_id,selection_rank,cell_id,revised_observation_id,revised_value_lexeme,served_observation_id,served_value_lexeme,revision_served,base_value_recallable
3,sweep_004,B1,1,f655daf9c7189ef53b78,758d23e4b17727f68b5c,0.17,758d23e4b17727f68b5c,0.17,yes,yes
3,sweep_004,B1,2,518cb2dbc96b03a7ef6c,c0976584be4cf9fb2514,3.88,c0976584be4cf9fb2514,3.88,yes,yes
3,sweep_004,B1,3,f7ecb1883aa83de08505,69bf660089da0359e089,4.94,69bf660089da0359e089,4.94,yes,yes
3,sweep_004,B1,4,fdaaa3c1bdc22fbe7d62,79542e232f8d14fb6aa0,3.12,79542e232f8d14fb6aa0,3.12,yes,yes
3,sweep_004,B2,1,f655daf9c7189ef53b78,758d23e4b17727f68b5c,0.17,758d23e4b17727f68b5c,0.17,yes,no
3,sweep_004,B2,2,518cb2dbc96b03a7ef6c,c0976584be4cf9fb2514,3.88,c0976584be4cf9fb2514,3.88,yes,no
3,sweep_004,B2,3,f7ecb1883aa83de08505,69bf660089da0359e089,4.94,69bf660089da0359e089,4.94,yes,no
3,sweep_004,B2,4,fdaaa3c1bdc22fbe7d62,79542e232f8d14fb6aa0,3.12,79542e232f8d14fb6aa0,3.12,yes,no
3,sweep_004,B3,1,f655daf9c7189ef53b78,758d23e4b17727f68b5c,0.17,758d23e4b17727f68b5c,0.17,yes,yes
3,sweep_004,B3,2,518cb2dbc96b03a7ef6c,c0976584be4cf9fb2514,3.88,c0976584be4cf9fb2514,3.88,yes,yes
3,sweep_004,B3,3,f7ecb1883aa83de08505,69bf660089da0359e089,4.94,69bf660089da0359e089,4.94,yes,yes
3,sweep_004,B3,4,fdaaa3c1bdc22fbe7d62,79542e232f8d14fb6aa0,3.12,79542e232f8d14fb6aa0,3.12,yes,yes
4,sweep_008,B0,1,f655daf9c7189ef53b78,7d1782accb4f88b7bebd,0.17,7d1782accb4f88b7bebd,0.17,yes,no
4,sweep_008,B0,2,518cb2dbc96b03a7ef6c,0e4397254c83bef18401,3.88,0e4397254c83bef18401,3.88,yes,no
4,sweep_008,B0,3,f7ecb1883aa83de08505,cef2282a905b751200fc,4.94,cef2282a905b751200fc,4.94,yes,no
4,sweep_008,B0,4,fdaaa3c1bdc22fbe7d62,d11f4ae8df232a45ffa1,3.12,d11f4ae8df232a45ffa1,3.12,yes,no
4,sweep_008,B0,5,84b30c24eace1e1a6dc5,01afe0511ad62aebccce,3.23,01afe0511ad62aebccce,3.23,yes,no
4,sweep_008,B0,6,c1b8bcff725f214a9466,14784d4d2763da2d7340,3.70,14784d4d2763da2d7340,3.70,yes,no
4,sweep_008,B0,7,cbe519449e41300a4184,da8c9d76e3560d15b435,5.06,da8c9d76e3560d15b435,5.06,yes,no
4,sweep_008,B0,8,042fd0148d20a8caa19a,414f59cccfc8a5ad9b10,6.65,414f59cccfc8a5ad9b10,6.65,yes,no
4,sweep_008,B1,1,f655daf9c7189ef53b78,7d1782accb4f88b7bebd,0.17,7d1782accb4f88b7bebd,0.17,yes,yes
4,sweep_008,B1,2,518cb2dbc96b03a7ef6c,0e4397254c83bef18401,3.88,0e4397254c83bef18401,3.88,yes,yes
4,sweep_008,B1,3,f7ecb1883aa83de08505,cef2282a905b751200fc,4.94,cef2282a905b751200fc,4.94,yes,yes
4,sweep_008,B1,4,fdaaa3c1bdc22fbe7d62,d11f4ae8df232a45ffa1,3.12,d11f4ae8df232a45ffa1,3.12,yes,yes
4,sweep_008,B1,5,84b30c24eace1e1a6dc5,01afe0511ad62aebccce,3.23,01afe0511ad62aebccce,3.23,yes,yes
4,sweep_008,B1,6,c1b8bcff725f214a9466,14784d4d2763da2d7340,3.70,14784d4d2763da2d7340,3.70,yes,yes
4,sweep_008,B1,7,cbe519449e41300a4184,da8c9d76e3560d15b435,5.06,da8c9d76e3560d15b435,5.06,yes,yes
4,sweep_008,B1,8,042fd0148d20a8caa19a,414f59cccfc8a5ad9b10,6.65,414f59cccfc8a5ad9b10,6.65,yes,yes
4,sweep_008,B2,1,f655daf9c7189ef53b78,7d1782accb4f88b7bebd,0.17,7d1782accb4f88b7bebd,0.17,yes,no
4,sweep_008,B2,2,518cb2dbc96b03a7ef6c,0e4397254c83bef18401,3.88,0e4397254c83bef18401,3.88,yes,no
4,sweep_008,B2,3,f7ecb1883aa83de08505,cef2282a905b751200fc,4.94,cef2282a905b751200fc,4.94,yes,no
4,sweep_008,B2,4,fdaaa3c1bdc22fbe7d62,d11f4ae8df232a45ffa1,3.12,d11f4ae8df232a45ffa1,3.12,yes,no
4,sweep_008,B2,5,84b30c24eace1e1a6dc5,01afe0511ad62aebccce,3.23,01afe0511ad62aebccce,3.23,yes,no
4,sweep_008,B2,6,c1b8bcff725f214a9466,14784d4d2763da2d7340,3.70,14784d4d2763da2d7340,3.70,yes,no
4,sweep_008,B2,7,cbe519449e41300a4184,da8c9d76e3560d15b435,5.06,da8c9d76e3560d15b435,5.06,yes,no
4,sweep_008,B2,8,042fd0148d20a8caa19a,414f59cccfc8a5ad9b10,6.65,414f59cccfc8a5ad9b10,6.65,yes,no
4,sweep_008,B3,1,f655daf9c7189ef53b78,7d1782accb4f88b7bebd,0.17,7d1782accb4f88b7bebd,0.17,yes,yes
4,sweep_008,B3,2,518cb2dbc96b03a7ef6c,0e4397254c83bef18401,3.88,0e4397254c83bef18401,3.88,yes,yes
4,sweep_008,B3,3,f7ecb1883aa83de08505,cef2282a905b751200fc,4.94,cef2282a905b751200fc,4.94,yes,yes
4,sweep_008,B3,4,fdaaa3c1bdc22fbe7d62,d11f4ae8df232a45ffa1,3.12,d11f4ae8df232a45ffa1,3.12,yes,yes
4,sweep_008,B3,5,84b30c24eace1e1a6dc5,01afe0511ad62aebccce,3.23,01afe0511ad62aebccce,3.23,yes,yes
4,sweep_008,B3,6,c1b8bcff725f214a9466,14784d4d2763da2d7340,3.70,14784d4d2763da2d7340,3.70,yes,yes
4,sweep_008,B3,7,cbe519449e41300a4184,da8c9d76e3560d15b435,5.06,da8c9d76e3560d15b435,5.06,yes,yes
4,sweep_008,B3,8,042fd0148d20a8caa19a,414f59cccfc8a5ad9b10,6.65,414f59cccfc8a5ad9b10,6.65,yes,yes
5,sweep_016,B0,1,f655daf9c7189ef53b78,ce7a4d97c550ca560486,0.17,ce7a4d97c550ca560486,0.17,yes,no
5,sweep_016,B0,2,518cb2dbc96b03a7ef6c,89241e3d555357de0dfb,3.88,89241e3d555357de0dfb,3.88,yes,no
5,sweep_016,B0,3,f7ecb1883aa83de08505,ecdb29655d00aa8311e2,4.94,ecdb29655d00aa8311e2,4.94,yes,no
5,sweep_016,B0,4,fdaaa3c1bdc22fbe7d62,79823c15e36f697c1039,3.12,79823c15e36f697c1039,3.12,yes,no
5,sweep_016,B0,5,84b30c24eace1e1a6dc5,0d211b86559043fa8759,3.23,0d211b86559043fa8759,3.23,yes,no
5,sweep_016,B0,6,c1b8bcff725f214a9466,36dfafeca0b538f44e49,3.70,36dfafeca0b538f44e49,3.70,yes,no
5,sweep_016,B0,7,cbe519449e41300a4184,29fc433debf27c5adec4,5.06,29fc433debf27c5adec4,5.06,yes,no
5,sweep_016,B0,8,042fd0148d20a8caa19a,ec4d676e63360438f2f7,6.65,ec4d676e63360438f2f7,6.65,yes,no
5,sweep_016,B0,9,3444568b44a846c2053e,bf3907a5b158f6f980f3,6.15,bf3907a5b158f6f980f3,6.15,yes,no
5,sweep_016,B0,10,15b32a8759c7403b435e,fb785dd42b073f4f59bf,3.39,fb785dd42b073f4f59bf,3.39,yes,no
5,sweep_016,B0,11,d9e326095a3f240bfa4b,c7f34a6e353d09d39527,4.67,c7f34a6e353d09d39527,4.67,yes,no
5,sweep_016,B0,12,775bc5ede0b28b080f98,e625011efbdfefbd2d3d,4.89,e625011efbdfefbd2d3d,4.89,yes,no
5,sweep_016,B0,13,90a3159b8a7b4bd4e061,94047d870647dcda4717,5.57,94047d870647dcda4717,5.57,yes,no
5,sweep_016,B0,14,91d71a779a47db1c23e2,48491e78fc5d44153c3e,3.02,48491e78fc5d44153c3e,3.02,yes,no
5,sweep_016,B0,15,8788e4198f43d007511b,c2a659c36694696695c6,1.50,c2a659c36694696695c6,1.50,yes,no
5,sweep_016,B0,16,3b659c42075a31bc828b,8d74c657bc0de5152721,4.93,8d74c657bc0de5152721,4.93,yes,no
5,sweep_016,B1,1,f655daf9c7189ef53b78,ce7a4d97c550ca560486,0.17,ce7a4d97c550ca560486,0.17,yes,yes
5,sweep_016,B1,2,518cb2dbc96b03a7ef6c,89241e3d555357de0dfb,3.88,89241e3d555357de0dfb,3.88,yes,yes
5,sweep_016,B1,3,f7ecb1883aa83de08505,ecdb29655d00aa8311e2,4.94,ecdb29655d00aa8311e2,4.94,yes,yes
5,sweep_016,B1,4,fdaaa3c1bdc22fbe7d62,79823c15e36f697c1039,3.12,79823c15e36f697c1039,3.12,yes,yes
5,sweep_016,B1,5,84b30c24eace1e1a6dc5,0d211b86559043fa8759,3.23,0d211b86559043fa8759,3.23,yes,yes
5,sweep_016,B1,6,c1b8bcff725f214a9466,36dfafeca0b538f44e49,3.70,36dfafeca0b538f44e49,3.70,yes,yes
5,sweep_016,B1,7,cbe519449e41300a4184,29fc433debf27c5adec4,5.06,29fc433debf27c5adec4,5.06,yes,yes
5,sweep_016,B1,8,042fd0148d20a8caa19a,ec4d676e63360438f2f7,6.65,ec4d676e63360438f2f7,6.65,yes,yes
5,sweep_016,B1,9,3444568b44a846c2053e,bf3907a5b158f6f980f3,6.15,bf3907a5b158f6f980f3,6.15,yes,yes
5,sweep_016,B1,10,15b32a8759c7403b435e,fb785dd42b073f4f59bf,3.39,fb785dd42b073f4f59bf,3.39,yes,yes
5,sweep_016,B1,11,d9e326095a3f240bfa4b,c7f34a6e353d09d39527,4.67,c7f34a6e353d09d39527,4.67,yes,yes
5,sweep_016,B1,12,775bc5ede0b28b080f98,e625011efbdfefbd2d3d,4.89,e625011efbdfefbd2d3d,4.89,yes,yes
5,sweep_016,B1,13,90a3159b8a7b4bd4e061,94047d870647dcda4717,5.57,94047d870647dcda4717,5.57,yes,yes
5,sweep_016,B1,14,91d71a779a47db1c23e2,48491e78fc5d44153c3e,3.02,48491e78fc5d44153c3e,3.02,yes,yes
5,sweep_016,B1,15,8788e4198f43d007511b,c2a659c36694696695c6,1.50,c2a659c36694696695c6,1.50,yes,yes
5,sweep_016,B1,16,3b659c42075a31bc828b,8d74c657bc0de5152721,4.93,8d74c657bc0de5152721,4.93,yes,yes
5,sweep_016,B2,1,f655daf9c7189ef53b78,ce7a4d97c550ca560486,0.17,ce7a4d97c550ca560486,0.17,yes,no
5,sweep_016,B2,2,518cb2dbc96b03a7ef6c,89241e3d555357de0dfb,3.88,89241e3d555357de0dfb,3.88,yes,no
5,sweep_016,B2,3,f7ecb1883aa83de08505,ecdb29655d00aa8311e2,4.94,ecdb29655d00aa8311e2,4.94,yes,no
5,sweep_016,B2,4,fdaaa3c1bdc22fbe7d62,79823c15e36f697c1039,3.12,79823c15e36f697c1039,3.12,yes,no
5,sweep_016,B2,5,84b30c24eace1e1a6dc5,0d211b86559043fa8759,3.23,0d211b86559043fa8759,3.23,yes,no
5,sweep_016,B2,6,c1b8bcff725f214a9466,36dfafeca0b538f44e49,3.70,36dfafeca0b538f44e49,3.70,yes,no
5,sweep_016,B2,7,cbe519449e41300a4184,29fc433debf27c5adec4,5.06,29fc433debf27c5adec4,5.06,yes,no
5,sweep_016,B2,8,042fd0148d20a8caa19a,ec4d676e63360438f2f7,6.65,ec4d676e63360438f2f7,6.65,yes,no
5,sweep_016,B2,9,3444568b44a846c2053e,bf3907a5b158f6f980f3,6.15,bf3907a5b158f6f980f3,6.15,yes,no
5,sweep_016,B2,10,15b32a8759c7403b435e,fb785dd42b073f4f59bf,3.39,fb785dd42b073f4f59bf,3.39,yes,no
5,sweep_016,B2,11,d9e326095a3f240bfa4b,c7f34a6e353d09d39527,4.67,c7f34a6e353d09d39527,4.67,yes,no
5,sweep_016,B2,12,775bc5ede0b28b080f98,e625011efbdfefbd2d3d,4.89,e625011efbdfefbd2d3d,4.89,yes,no
5,sweep_016,B2,13,90a3159b8a7b4bd4e061,94047d870647dcda4717,5.57,94047d870647dcda4717,5.57,yes,no
5,sweep_016,B2,14,91d71a779a47db1c23e2,48491e78fc5d44153c3e,3.02,48491e78fc5d44153c3e,3.02,yes,no
5,sweep_016,B2,15,8788e4198f43d007511b,c2a659c36694696695c6,1.50,c2a659c36694696695c6,1.50,yes,no
5,sweep_016,B2,16,3b659c42075a31bc828b,8d74c657bc0de5152721,4.93,8d74c657bc0de5152721,4.93,yes,no
5,sweep_016,B3,1,f655daf9c7189ef53b78,ce7a4d97c550ca560486,0.17,ce7a4d97c550ca560486,0.17,yes,yes
5,sweep_016,B3,2,518cb2dbc96b03a7ef6c,89241e3d555357de0dfb,3.88,89241e3d555357de0dfb,3.88,yes,yes
5,sweep_016,B3,3,f7ecb1883aa83de08505,ecdb29655d00aa8311e2,4.94,ecdb29655d00aa8311e2,4.94,yes,yes
5,sweep_016,B3,4,fdaaa3c1bdc22fbe7d62,79823c15e36f697c1039,3.12,79823c15e36f697c1039,3.12,yes,yes
5,sweep_016,B3,5,84b30c24eace1e1a6dc5,0d211b86559043fa8759,3.23,0d211b86559043fa8759,3.23,yes,yes
5,sweep_016,B3,6,c1b8bcff725f214a9466,36dfafeca0b538f44e49,3.70,36dfafeca0b538f44e49,3.70,yes,yes
5,sweep_016,B3,7,cbe519449e41300a4184,29fc433debf27c5adec4,5.06,29fc433debf27c5adec4,5.06,yes,yes
5,sweep_016,B3,8,042fd0148d20a8caa19a,ec4d676e63360438f2f7,6.65,ec4d676e63360438f2f7,6.65,yes,yes
5,sweep_016,B3,9,3444568b44a846c2053e,bf3907a5b158f6f980f3,6.15,bf3907a5b158f6f980f3,6.15,yes,yes
5,sweep_016,B3,10,15b32a8759c7403b435e,fb785dd42b073f4f59bf,3.39,fb785dd42b073f4f59bf,3.39,yes,yes
5,sweep_016,B3,11,d9e326095a3f240bfa4b,c7f34a6e353d09d39527,4.67,c7f34a6e353d09d39527,4.67,yes,yes
5,sweep_016,B3,12,775bc5ede0b28b080f98,e625011efbdfefbd2d3d,4.89,e625011efbdfefbd2d3d,4.89,yes,yes
5,sweep_016,B3,13,90a3159b8a7b4bd4e061,94047d870647dcda4717,5.57,94047d870647dcda4717,5.57,yes,yes
5,sweep_016,B3,14,91d71a779a47db1c23e2,48491e78fc5d44153c3e,3.02,48491e78fc5d44153c3e,3.02,yes,yes
5,sweep_016,B3,15,8788e4198f43d007511b,c2a659c36694696695c6,1.50,c2a659c36694696695c6,1.50,yes,yes
5,sweep_016,B3,16,3b659c42075a31bc828b,8d74c657bc0de5152721,4.93,8d74c657bc0de5152721,4.93,yes,yes
6,sweep_038,B0,1,f655daf9c7189ef53b78,a61d974ce4efa20f3c48,0.17,a61d974ce4efa20f3c48,0.17,yes,no
6,sweep_038,B0,2,518cb2dbc96b03a7ef6c,2b0c3895c2ff4c296d46,3.88,2b0c3895c2ff4c296d46,3.88,yes,no
6,sweep_038,B0,3,f7ecb1883aa83de08505,28ffe06784cf381bf5d5,4.94,28ffe06784cf381bf5d5,4.94,yes,no
6,sweep_038,B0,4,fdaaa3c1bdc22fbe7d62,4653c7ea1c2f1fb5b1bf,3.12,4653c7ea1c2f1fb5b1bf,3.12,yes,no
6,sweep_038,B0,5,84b30c24eace1e1a6dc5,3b928c48e2f5191636c0,3.23,3b928c48e2f5191636c0,3.23,yes,no
6,sweep_038,B0,6,c1b8bcff725f214a9466,431534cf38e49fcf86e5,3.70,431534cf38e49fcf86e5,3.70,yes,no
6,sweep_038,B0,7,cbe519449e41300a4184,077f8b8a97193f0c41e2,5.06,077f8b8a97193f0c41e2,5.06,yes,no
6,sweep_038,B0,8,042fd0148d20a8caa19a,759afe4fe5d653a064d2,6.65,759afe4fe5d653a064d2,6.65,yes,no
6,sweep_038,B0,9,3444568b44a846c2053e,d95442f03223681958cd,6.15,d95442f03223681958cd,6.15,yes,no
6,sweep_038,B0,10,15b32a8759c7403b435e,e783e7ed66634a52df4f,3.39,e783e7ed66634a52df4f,3.39,yes,no
6,sweep_038,B0,11,d9e326095a3f240bfa4b,9aeba50d975ac23128ed,4.67,9aeba50d975ac23128ed,4.67,yes,no
6,sweep_038,B0,12,775bc5ede0b28b080f98,3767190b7182a0ffab7b,4.89,3767190b7182a0ffab7b,4.89,yes,no
6,sweep_038,B0,13,90a3159b8a7b4bd4e061,41accf3510c00216163d,5.57,41accf3510c00216163d,5.57,yes,no
6,sweep_038,B0,14,91d71a779a47db1c23e2,a74758ef820edf9963a4,3.02,a74758ef820edf9963a4,3.02,yes,no
6,sweep_038,B0,15,8788e4198f43d007511b,f6807285e972989d675f,1.50,f6807285e972989d675f,1.50,yes,no
6,sweep_038,B0,16,3b659c42075a31bc828b,c79ba1c7ada1332ed0e8,4.93,c79ba1c7ada1332ed0e8,4.93,yes,no
6,sweep_038,B0,17,29c43c170df0383b5802,c6418657b12b0a320317,3.19,c6418657b12b0a320317,3.19,yes,no
6,sweep_038,B0,18,55e90861aacfe1af1cf9,6d32428ded5848a3f82e,5.54,6d32428ded5848a3f82e,5.54,yes,no
6,sweep_038,B0,19,b6c8750e3fcf63d75190,f35e380119cd5101d50e,31.80,f35e380119cd5101d50e,31.80,yes,no
6,sweep_038,B0,20,473d3f8b67ccd5db5a86,1cfa8c9be971ac1313ca,1.23,1cfa8c9be971ac1313ca,1.23,yes,no
6,sweep_038,B0,21,0f162523fe74d1b2090c,361105480f2be3272cf9,7.12,361105480f2be3272cf9,7.12,yes,no
6,sweep_038,B0,22,4492f58c2bbce2a2d5f9,20fbf5b8fdab869dae16,-0.28,20fbf5b8fdab869dae16,-0.28,yes,no
6,sweep_038,B0,23,ebe21ab8cd07f32503b4,d7a43241d6034a41b011,3.48,d7a43241d6034a41b011,3.48,yes,no
6,sweep_038,B0,24,de51e35566585c57d7af,f5f23a56cb7eb54ecbd4,2.89,f5f23a56cb7eb54ecbd4,2.89,yes,no
6,sweep_038,B0,25,edc6a80da9b6ea8f7c1c,91b4961853dd870137f3,3.67,91b4961853dd870137f3,3.67,yes,no
6,sweep_038,B0,26,ac26da15f37e794a1959,cf3ae31ddd253b9946bf,-22.95,cf3ae31ddd253b9946bf,-22.95,yes,no
6,sweep_038,B0,27,49d6563bb2811eb71d8e,24b1dfd8d79fffb4d922,0.85,24b1dfd8d79fffb4d922,0.85,yes,no
6,sweep_038,B0,28,9eb560de8e683bc912e4,ed7715a697f1b4b9d604,3.86,ed7715a697f1b4b9d604,3.86,yes,no
6,sweep_038,B0,29,7d042823ae6be8d4a8c3,60585c71ce90307a7117,4.07,60585c71ce90307a7117,4.07,yes,no
6,sweep_038,B0,30,e4e0a2467bb328d2ae47,a9ac1a664ffa180e2cf7,2.62,a9ac1a664ffa180e2cf7,2.62,yes,no
6,sweep_038,B0,31,bc73b93a22e680ac17ab,5a96a6c281d16668cd44,0.60,5a96a6c281d16668cd44,0.60,yes,no
6,sweep_038,B0,32,c2a1a9ac151304cd246a,4cd519cac051e8aa8ebd,7.62,4cd519cac051e8aa8ebd,7.62,yes,no
6,sweep_038,B0,33,036d1c973ea85251e9a6,0013b6b1be7306892cdf,3.96,0013b6b1be7306892cdf,3.96,yes,no
6,sweep_038,B0,34,88766631e03a967c1ead,e50a5bd5bf19ef5aa77b,4.5,e50a5bd5bf19ef5aa77b,4.5,yes,no
6,sweep_038,B0,35,4166b79514eeade8b707,95f2aa83bc7503f04770,10.0,95f2aa83bc7503f04770,10.0,yes,no
6,sweep_038,B0,36,cb3058c1431b9559a7b8,8c622bf24201a1fa249f,6.39,8c622bf24201a1fa249f,6.39,yes,no
6,sweep_038,B0,37,1edba888e2c21aa52529,b23a1e138419afe7f70f,2.99,b23a1e138419afe7f70f,2.99,yes,no
6,sweep_038,B0,38,3c4b1f42bcb9b851d450,966893cf044b9f355b0b,4.79,966893cf044b9f355b0b,4.79,yes,no
6,sweep_038,B1,1,f655daf9c7189ef53b78,a61d974ce4efa20f3c48,0.17,a61d974ce4efa20f3c48,0.17,yes,yes
6,sweep_038,B1,2,518cb2dbc96b03a7ef6c,2b0c3895c2ff4c296d46,3.88,2b0c3895c2ff4c296d46,3.88,yes,yes
6,sweep_038,B1,3,f7ecb1883aa83de08505,28ffe06784cf381bf5d5,4.94,28ffe06784cf381bf5d5,4.94,yes,yes
6,sweep_038,B1,4,fdaaa3c1bdc22fbe7d62,4653c7ea1c2f1fb5b1bf,3.12,4653c7ea1c2f1fb5b1bf,3.12,yes,yes
6,sweep_038,B1,5,84b30c24eace1e1a6dc5,3b928c48e2f5191636c0,3.23,3b928c48e2f5191636c0,3.23,yes,yes
6,sweep_038,B1,6,c1b8bcff725f214a9466,431534cf38e49fcf86e5,3.70,431534cf38e49fcf86e5,3.70,yes,yes
6,sweep_038,B1,7,cbe519449e41300a4184,077f8b8a97193f0c41e2,5.06,077f8b8a97193f0c41e2,5.06,yes,yes
6,sweep_038,B1,8,042fd0148d20a8caa19a,759afe4fe5d653a064d2,6.65,759afe4fe5d653a064d2,6.65,yes,yes
6,sweep_038,B1,9,3444568b44a846c2053e,d95442f03223681958cd,6.15,d95442f03223681958cd,6.15,yes,yes
6,sweep_038,B1,10,15b32a8759c7403b435e,e783e7ed66634a52df4f,3.39,e783e7ed66634a52df4f,3.39,yes,yes
6,sweep_038,B1,11,d9e326095a3f240bfa4b,9aeba50d975ac23128ed,4.67,9aeba50d975ac23128ed,4.67,yes,yes
6,sweep_038,B1,12,775bc5ede0b28b080f98,3767190b7182a0ffab7b,4.89,3767190b7182a0ffab7b,4.89,yes,yes
6,sweep_038,B1,13,90a3159b8a7b4bd4e061,41accf3510c00216163d,5.57,41accf3510c00216163d,5.57,yes,yes
6,sweep_038,B1,14,91d71a779a47db1c23e2,a74758ef820edf9963a4,3.02,a74758ef820edf9963a4,3.02,yes,yes
6,sweep_038,B1,15,8788e4198f43d007511b,f6807285e972989d675f,1.50,f6807285e972989d675f,1.50,yes,yes
6,sweep_038,B1,16,3b659c42075a31bc828b,c79ba1c7ada1332ed0e8,4.93,c79ba1c7ada1332ed0e8,4.93,yes,yes
6,sweep_038,B1,17,29c43c170df0383b5802,c6418657b12b0a320317,3.19,c6418657b12b0a320317,3.19,yes,yes
6,sweep_038,B1,18,55e90861aacfe1af1cf9,6d32428ded5848a3f82e,5.54,6d32428ded5848a3f82e,5.54,yes,yes
6,sweep_038,B1,19,b6c8750e3fcf63d75190,f35e380119cd5101d50e,31.80,f35e380119cd5101d50e,31.80,yes,yes
6,sweep_038,B1,20,473d3f8b67ccd5db5a86,1cfa8c9be971ac1313ca,1.23,1cfa8c9be971ac1313ca,1.23,yes,yes
6,sweep_038,B1,21,0f162523fe74d1b2090c,361105480f2be3272cf9,7.12,361105480f2be3272cf9,7.12,yes,yes
6,sweep_038,B1,22,4492f58c2bbce2a2d5f9,20fbf5b8fdab869dae16,-0.28,20fbf5b8fdab869dae16,-0.28,yes,yes
6,sweep_038,B1,23,ebe21ab8cd07f32503b4,d7a43241d6034a41b011,3.48,d7a43241d6034a41b011,3.48,yes,yes
6,sweep_038,B1,24,de51e35566585c57d7af,f5f23a56cb7eb54ecbd4,2.89,f5f23a56cb7eb54ecbd4,2.89,yes,yes
6,sweep_038,B1,25,edc6a80da9b6ea8f7c1c,91b4961853dd870137f3,3.67,91b4961853dd870137f3,3.67,yes,yes
6,sweep_038,B1,26,ac26da15f37e794a1959,cf3ae31ddd253b9946bf,-22.95,cf3ae31ddd253b9946bf,-22.95,yes,yes
6,sweep_038,B1,27,49d6563bb2811eb71d8e,24b1dfd8d79fffb4d922,0.85,24b1dfd8d79fffb4d922,0.85,yes,yes
6,sweep_038,B1,28,9eb560de8e683bc912e4,ed7715a697f1b4b9d604,3.86,ed7715a697f1b4b9d604,3.86,yes,yes
6,sweep_038,B1,29,7d042823ae6be8d4a8c3,60585c71ce90307a7117,4.07,60585c71ce90307a7117,4.07,yes,yes
6,sweep_038,B1,30,e4e0a2467bb328d2ae47,a9ac1a664ffa180e2cf7,2.62,a9ac1a664ffa180e2cf7,2.62,yes,yes
6,sweep_038,B1,31,bc73b93a22e680ac17ab,5a96a6c281d16668cd44,0.60,5a96a6c281d16668cd44,0.60,yes,yes
6,sweep_038,B1,32,c2a1a9ac151304cd246a,4cd519cac051e8aa8ebd,7.62,4cd519cac051e8aa8ebd,7.62,yes,yes
6,sweep_038,B1,33,036d1c973ea85251e9a6,0013b6b1be7306892cdf,3.96,0013b6b1be7306892cdf,3.96,yes,yes
6,sweep_038,B1,34,88766631e03a967c1ead,e50a5bd5bf19ef5aa77b,4.5,e50a5bd5bf19ef5aa77b,4.5,yes,yes
6,sweep_038,B1,35,4166b79514eeade8b707,95f2aa83bc7503f04770,10.0,95f2aa83bc7503f04770,10.0,yes,yes
6,sweep_038,B1,36,cb3058c1431b9559a7b8,8c622bf24201a1fa249f,6.39,8c622bf24201a1fa249f,6.39,yes,yes
6,sweep_038,B1,37,1edba888e2c21aa52529,b23a1e138419afe7f70f,2.99,b23a1e138419afe7f70f,2.99,yes,yes
6,sweep_038,B1,38,3c4b1f42bcb9b851d450,966893cf044b9f355b0b,4.79,966893cf044b9f355b0b,4.79,yes,yes
