treatment_lineage_id,treatment_id,cell_id,requested_observation_id,source_lineage_path_id,source_record_node_id,observation_node_id,treatment_run_node_id,treatment_decision_node_id,treatment_output_node_id,output_observation_id,decision,requested_addressable,treatment_manifest_path,treatment_manifest_sha256,complete
treatment_path:6afd1f340218a8fadf2a,B0,4aab4307f4906503d2a4,a16c09b869c2ad72a4ea,path:b8bc76cfb7e9c8cf1e7d,source_record:26de36e57a1c215a6f55,observation:31d333568319d88d97b2,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:5b2bbe6c544f7987b94c,treatment_output:c9e3b820d99df8cfd24a,e06e475e6f5cb8748897,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:665c939b11437a522e14,B0,4aab4307f4906503d2a4,bc696217068415ca73e2,path:d90dfe4a0892ed071720,source_record:609ed81aeb94651f9f28,observation:faa7a4c88494a64e5e39,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:f0f9398e159a89805a66,treatment_output:c9e3b820d99df8cfd24a,e06e475e6f5cb8748897,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:dbe1ab6a404de21e9495,B0,4aab4307f4906503d2a4,e06e475e6f5cb8748897,path:8dfd2bbf25d027333a9d,source_record:582a11702e2e666dfc87,observation:4d4d1e51259f85b21f1d,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:1e0b717dca3619cbc832,treatment_output:c9e3b820d99df8cfd24a,e06e475e6f5cb8748897,current_available,yes,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:91183cb952f48c2f0082,B0,53b2a1ef09a68d6c5173,211b04665de26cd11d77,path:bb4132599b10a4c786e9,source_record:4ed2457911a60c3d488b,observation:8723d68bb99c76a272c0,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:0abd4a86810b0413b3d9,treatment_output:234f15398f84db5e04ef,74fed6e1c3d917191be6,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:2f7f3ad5db9e0393d95b,B0,53b2a1ef09a68d6c5173,74fed6e1c3d917191be6,path:021aaa0e50db5b3937c5,source_record:061aced56e5316f767e3,observation:e36405cf00bd435e3d3d,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:fa01589df546f2ac10bc,treatment_output:234f15398f84db5e04ef,74fed6e1c3d917191be6,current_available,yes,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:7e79780442eeaffb87fe,B0,5b5eeef107bb6f124496,05a8528c88245297d4ba,path:61a65539dd7fd15cc1b6,source_record:07204f7959a158920906,observation:5f781c26691e4c1d4e63,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:521d48c5bcc94247c67b,treatment_output:4e88d5c3b721496dd778,edde0b27f2f31f5fb962,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:3fea25928bd25b66c911,B0,5b5eeef107bb6f124496,edde0b27f2f31f5fb962,path:e852ffb2dcb8b95c866a,source_record:0ee5489cd01f22e5a51c,observation:1ecfe2896341b81743b9,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:01e97655d5b8bfaf85b6,treatment_output:4e88d5c3b721496dd778,edde0b27f2f31f5fb962,current_available,yes,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:fb5db447bda22d037917,B0,71a013b45f47a8aefa7d,2766cbe2cf960f73ba05,path:24ed4b6b702e502e42e6,source_record:69c44ea8114c54419750,observation:3b44dd267dadc5b9eb40,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:74ac980251856f1cc7c8,treatment_output:20a795746ad404126b29,4af2e0e7825c9f2ac443,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:c148d1af9f25b2b4c817,B0,71a013b45f47a8aefa7d,4af2e0e7825c9f2ac443,path:c432cf9d5f8eb992f618,source_record:d3ee5d39849b0096d5ce,observation:6e3265bf4a2eadf39698,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:e456f220c0c8c9eee183,treatment_output:20a795746ad404126b29,4af2e0e7825c9f2ac443,current_available,yes,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:be864169bb44c8c9a866,B0,71a013b45f47a8aefa7d,deabb3549fa520121850,path:88ea43a39fb332364087,source_record:1aa22f2b385a01569fc4,observation:3b1d7e44c2f83aa6fe02,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:733e8862b895e90c023f,treatment_output:20a795746ad404126b29,4af2e0e7825c9f2ac443,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:9c74d29ea8a515bd4340,B0,7c1c5248808f73b2f3a6,463dda3fe5140e2fbed2,path:b2e639819b1544aa2d08,source_record:e6e65cbbb0692b29878a,observation:4451fa83b206a52cd53e,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:501ef06bfa9901cc32a8,treatment_output:130f540cad1892fe9816,cb0d5147421c66597d95,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:40f86493f80c97a46b7b,B0,7c1c5248808f73b2f3a6,9fe0a3bb2baed4ce3810,path:84377c0849e94350fa01,source_record:271cc1d0fc53de1a353a,observation:885040ab6fb9ac0096b2,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:3497f7cefa9fb8da56dc,treatment_output:130f540cad1892fe9816,cb0d5147421c66597d95,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:bf69346986bf4f6a0907,B0,7c1c5248808f73b2f3a6,cb0d5147421c66597d95,path:158d046767399e2f4f05,source_record:d51908b14d4f43919f94,observation:3a58dba97aae26b9300b,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:69f8285768cc23cfcd85,treatment_output:130f540cad1892fe9816,cb0d5147421c66597d95,current_available,yes,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:8d2791f39307132ecf19,B0,7e097ceb497e25947325,d99bc3566095bc6ee582,path:fa5e792520d4e060fd09,source_record:55f9eca0640826e24f9c,observation:5577ee9eb9f8775867ee,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:e9e1e46e04b4e0b87c82,treatment_output:7c0e6ae3460bcd226630,d99bc3566095bc6ee582,current_available,yes,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:cca9f89c8302c177da34,B0,7e097ceb497e25947325,e313de2e0e1a97bc17ff,path:b9661ac96456a9efd9ba,source_record:c5368ca23455a251f941,observation:f99fdeebfc608df3a8bb,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:4d94c6598e04bfa70d82,treatment_output:7c0e6ae3460bcd226630,d99bc3566095bc6ee582,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:e605ce636a2c48d1e6d0,B0,94651a48df17d3b56a1b,6fbf4aae1b9a6de0051a,path:1854639fe75807863181,source_record:010ca4a0b9492cf8f0be,observation:294d2d83bf86fa753446,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:578b9ae365fa3ee4e1f3,treatment_output:4f0be064a82af45a9a81,b55b4fefc9148be667c1,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:77b6f0c8dc56489c9837,B0,94651a48df17d3b56a1b,b55b4fefc9148be667c1,path:eceb7f883aff979fbc79,source_record:193147b5654f5049a70b,observation:c8636f1fbb21ce328ae5,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:42ed1037c94137b84019,treatment_output:4f0be064a82af45a9a81,b55b4fefc9148be667c1,current_available,yes,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:c85f6fe4be1cd78fc433,B0,94651a48df17d3b56a1b,cfe502c53f19a90449e6,path:a966e805dba2730a4361,source_record:0230a2ca03c36177ec6e,observation:b9d9aa4f2beeae259666,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:345214c000d52f1ca630,treatment_output:4f0be064a82af45a9a81,b55b4fefc9148be667c1,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:12cd480f57df19c2a2ae,B0,af12d1ae8c1555d899be,69a1ecde0bf18c3a84ae,path:d49a57b78cc6b9abfbda,source_record:192aacf02d8179c6f75a,observation:c0e44bfaff03fb3d0e85,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:7eb5aa0a1c9985db3bae,treatment_output:452ae73d8fa913d02132,d3d17696ddd6a7bcb743,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:273ebbaab6365b1e41b5,B0,af12d1ae8c1555d899be,a34fc65bf470c1e7ce20,path:5cfb507dee7be46c97f7,source_record:091fddff5547c21e53b2,observation:da340ced2539c49628bf,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:4528f931b50456c66ede,treatment_output:452ae73d8fa913d02132,d3d17696ddd6a7bcb743,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:6f707a624cfd6e25c269,B0,af12d1ae8c1555d899be,d3d17696ddd6a7bcb743,path:97d575c0b8aedf27b9c8,source_record:470895f1243b5ec9b3fc,observation:202f97684ab8629aa916,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:28561b0a1878d7b8630d,treatment_output:452ae73d8fa913d02132,d3d17696ddd6a7bcb743,current_available,yes,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:2b6aaf910f8efb6a80cb,B0,e33e2f8351747300cba7,27f750d142897641b3b1,path:f9d72b85568f2a848e1c,source_record:294fa03a900a59c6bcc9,observation:ea029425bb6e7db0f2d4,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:f3555f20090ed7209e39,treatment_output:e96db0628793a76f6317,506a60e86fb32d9c608b,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:05d62208f733d98a4b49,B0,e33e2f8351747300cba7,356dadeceba952eb2a0c,path:0afc3e5030134801aaf0,source_record:c2b5603f1388485b6d3e,observation:be61f5d1cfa355a917f0,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:6930213d03643139cb4f,treatment_output:e96db0628793a76f6317,506a60e86fb32d9c608b,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:e30af1868c54c958b248,B0,e33e2f8351747300cba7,506a60e86fb32d9c608b,path:cc183da10df50aea21cd,source_record:1822780c1a34fa87ecd7,observation:de0321deca75854654ba,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:aa4980282d3bcdb13249,treatment_output:e96db0628793a76f6317,506a60e86fb32d9c608b,current_available,yes,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:7b2e54d93b1c29078ea4,B0,e4982bb0d13ac08094aa,49b82f2b710bfb946f9f,path:322b033ed589deaf1c3d,source_record:423572d2616d043c15d1,observation:864f2c2d1b88e471e06c,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:ae1fade8ed6c5938f499,treatment_output:b112b3995ea306e43f08,49b82f2b710bfb946f9f,current_available,yes,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:6ccfbd4ac75cfc67d996,B0,e4982bb0d13ac08094aa,f2b9db071dd4766d6307,path:2b01f40134ef46caecb9,source_record:a98acfe4bec18f9a0390,observation:0970843830c2ae7c8503,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:a484434b328c7b0665f7,treatment_output:b112b3995ea306e43f08,49b82f2b710bfb946f9f,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:d71b597e7f833545297e,B0,e4982bb0d13ac08094aa,f4b6cbcb460eaef0f82e,path:b4be154954c60c0be6c2,source_record:875236bbef4d7952b885,observation:cc516c3714c088b54218,treatment_run:ef7359e4d147cbd8daf2,treatment_decision:64e4c12a09d2d7bd90b2,treatment_output:b112b3995ea306e43f08,49b82f2b710bfb946f9f,historical_overwritten,no,data/manifests/h7-b0-overwrite.json,3a58c69db80ff66d43f965b24ab770a7c03a99a554d2ac36d9b0e239e29c99ff,yes
treatment_path:a8592e76a08be6f77229,B2,05ae4dff5d60b5021813,ad8a7f5c7869af674e3a,path:757c700c17d517b3f7c3,source_record:71811020d9a92abf868d,observation:e4c9a85a54e3ad78e66c,treatment_run:e521039156fb73b71128,treatment_decision:84cbb32858b832c84f69,treatment_output:eae14ef263bc0a3ed9ca,ad8a7f5c7869af674e3a,selected_available,yes,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
treatment_path:6866488c30eb88893867,B2,05ae4dff5d60b5021813,f831d08aa91c95864cd0,path:1e69049e8ab82ddb3293,source_record:bbde0e659e98bd2c6084,observation:1b7b7decaafba2e44741,treatment_run:e521039156fb73b71128,treatment_decision:c4f21a91862dd44daf60,treatment_output:eae14ef263bc0a3ed9ca,ad8a7f5c7869af674e3a,discarded_by_source_selection,no,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
treatment_path:08923c513c789e4d6847,B2,1c03a76cb6a98f53235d,09bd4158de9b28a03d83,path:b98116cdfc3625b57334,source_record:621b059bcf550a1ead3a,observation:3f64e0aa5f69399e8a04,treatment_run:e521039156fb73b71128,treatment_decision:66faf76902b33b10aa76,treatment_output:33f3dbad646d3ec19143,5fab5a82719cacffcbe4,discarded_by_source_selection,no,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
treatment_path:a9dc7380d5b598d5f59d,B2,1c03a76cb6a98f53235d,5fab5a82719cacffcbe4,path:9cfd576ba6467c314ac3,source_record:a2585ae02f3eb15eab0e,observation:04df2a67b487f338de1b,treatment_run:e521039156fb73b71128,treatment_decision:44e85d3e18527505e98a,treatment_output:33f3dbad646d3ec19143,5fab5a82719cacffcbe4,selected_available,yes,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
treatment_path:8d814eacc81f2a8a0aec,B2,1c03a76cb6a98f53235d,9fcd6d7d4f2e24e56db1,path:0f4459bbf2991e7490f0,source_record:16473e53e748c08ec754,observation:667f983b01d3cdf7458e,treatment_run:e521039156fb73b71128,treatment_decision:8308c3c3f060c8b25564,treatment_output:33f3dbad646d3ec19143,5fab5a82719cacffcbe4,discarded_by_source_selection,no,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
treatment_path:7c2793bb84b79bbd9652,B2,3087bf08970908c509ca,1721995859418ecf608c,path:62b34012c87ba9a4340f,source_record:3edd79e5e5b56f709897,observation:c8d559d64c4d785c41a3,treatment_run:e521039156fb73b71128,treatment_decision:1c37bb7db78dd523efc8,treatment_output:42784905be0ef14a4822,1721995859418ecf608c,selected_available,yes,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
treatment_path:d6fafc41856b0fceb4d1,B2,3087bf08970908c509ca,72e8553f361951a0c2c8,path:80b166643382e0ef0e65,source_record:c9024fe3b36dd1151ec1,observation:a7e8ddddcfeb654133b3,treatment_run:e521039156fb73b71128,treatment_decision:a6c6d5f8faaf44e4fb40,treatment_output:42784905be0ef14a4822,1721995859418ecf608c,discarded_by_source_selection,no,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
treatment_path:36930f777c881f113e80,B2,3087bf08970908c509ca,df8ae4a2843995c9185d,path:ab93a5e3fc9a10c663fc,source_record:f6a04a1c01641dfdfadc,observation:96242f6669896b9035de,treatment_run:e521039156fb73b71128,treatment_decision:c2ceeff98ed5980e40d3,treatment_output:42784905be0ef14a4822,1721995859418ecf608c,discarded_by_source_selection,no,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
treatment_path:7b97f46fc4bb5a381b11,B2,425bfdd5ca02ab3e3cc1,69745dd19d776c69570e,path:2ac84c6536afc316c225,source_record:87c903ae7b46a49c415f,observation:e19175cc2d07bb652fd5,treatment_run:e521039156fb73b71128,treatment_decision:ba4d2a0323532ef5eefc,treatment_output:5fb72e44f9c935bd58f3,69745dd19d776c69570e,selected_available,yes,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
treatment_path:9b76fed529b6f489be77,B2,425bfdd5ca02ab3e3cc1,6ad6dfc4b05d0f292d1f,path:48ecac1095ede20645a5,source_record:7e35d4e934c4fa296c7d,observation:389c8092fc51c52bc4eb,treatment_run:e521039156fb73b71128,treatment_decision:2bf4efe84e17d15d5a52,treatment_output:5fb72e44f9c935bd58f3,69745dd19d776c69570e,discarded_by_source_selection,no,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
treatment_path:444e4e4f1f090ebd0130,B2,425bfdd5ca02ab3e3cc1,87cdfc70ee6d45666fec,path:3a7cea85e37e471d8faa,source_record:9d014b544d90b04f050e,observation:fd786e62692104822637,treatment_run:e521039156fb73b71128,treatment_decision:194200d871c8425ce37a,treatment_output:5fb72e44f9c935bd58f3,69745dd19d776c69570e,discarded_by_source_selection,no,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
treatment_path:ea7fede3180155c96322,B2,4aab4307f4906503d2a4,a16c09b869c2ad72a4ea,path:b8bc76cfb7e9c8cf1e7d,source_record:26de36e57a1c215a6f55,observation:31d333568319d88d97b2,treatment_run:e521039156fb73b71128,treatment_decision:f23f0bd59f8981005867,treatment_output:aa886d476fcda30c743c,bc696217068415ca73e2,discarded_by_source_selection,no,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
treatment_path:bca5cfd87ed11f95151f,B2,4aab4307f4906503d2a4,bc696217068415ca73e2,path:d90dfe4a0892ed071720,source_record:609ed81aeb94651f9f28,observation:faa7a4c88494a64e5e39,treatment_run:e521039156fb73b71128,treatment_decision:ebc36619fb9371ccdb2d,treatment_output:aa886d476fcda30c743c,bc696217068415ca73e2,selected_available,yes,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
treatment_path:43772b4fe23577c19479,B2,4aab4307f4906503d2a4,e06e475e6f5cb8748897,path:8dfd2bbf25d027333a9d,source_record:582a11702e2e666dfc87,observation:4d4d1e51259f85b21f1d,treatment_run:e521039156fb73b71128,treatment_decision:f602fdf9ed7c4d21a015,treatment_output:aa886d476fcda30c743c,bc696217068415ca73e2,discarded_by_source_selection,no,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
treatment_path:94363a701122a8bc9901,B2,53b2a1ef09a68d6c5173,211b04665de26cd11d77,path:bb4132599b10a4c786e9,source_record:4ed2457911a60c3d488b,observation:8723d68bb99c76a272c0,treatment_run:e521039156fb73b71128,treatment_decision:6f97d759c0fb908abffb,treatment_output:1c8aa4de2addbacb0dd5,74fed6e1c3d917191be6,discarded_by_source_selection,no,data/manifests/h7b-b2-single-source.json,9f7330f0c0c80e3feefd308bd8642b6ee36ac2107c853e18b2374e379f57648f,yes
