arrival_order,arrival_vintage_id,observation_id,observation_node_id,lineage_edge_id,cell_node_id,cell_id,impact_basis
2,9ab2011a3892edfac889,1721995859418ecf608c,observation:c8d559d64c4d785c41a3,edge:c4a9eed82d0c716ef665,indicator_cell:9f4335805533dc1644dc,3087bf08970908c509ca,exact H6C observation_materializes_cell edge
2,9ab2011a3892edfac889,69745dd19d776c69570e,observation:e19175cc2d07bb652fd5,edge:8ff700679e93749b490d,indicator_cell:7893e69f53cf7b6d0284,425bfdd5ca02ab3e3cc1,exact H6C observation_materializes_cell edge
2,9ab2011a3892edfac889,bc696217068415ca73e2,observation:faa7a4c88494a64e5e39,edge:66e96e602d8a04d45ad0,indicator_cell:e30254e6593a5ad1768e,4aab4307f4906503d2a4,exact H6C observation_materializes_cell edge
2,9ab2011a3892edfac889,74fed6e1c3d917191be6,observation:e36405cf00bd435e3d3d,edge:e3f0ce5d4bc903d0bfbf,indicator_cell:c4a866eca4b16dd78a5b,53b2a1ef09a68d6c5173,exact H6C observation_materializes_cell edge
2,9ab2011a3892edfac889,edde0b27f2f31f5fb962,observation:1ecfe2896341b81743b9,edge:f68153b64c023f03e6f0,indicator_cell:55e36c8d23c81a7e5e6f,5b5eeef107bb6f124496,exact H6C observation_materializes_cell edge
2,9ab2011a3892edfac889,deabb3549fa520121850,observation:3b1d7e44c2f83aa6fe02,edge:f6af64e78d995a29282f,indicator_cell:44587469161d5e598f2a,71a013b45f47a8aefa7d,exact H6C observation_materializes_cell edge
2,9ab2011a3892edfac889,463dda3fe5140e2fbed2,observation:4451fa83b206a52cd53e,edge:e2b93b6060b08a415bc7,indicator_cell:feb2ac97cbf469e6c701,7c1c5248808f73b2f3a6,exact H6C observation_materializes_cell edge
2,9ab2011a3892edfac889,d99bc3566095bc6ee582,observation:5577ee9eb9f8775867ee,edge:718341a02f1381ec6079,indicator_cell:de3c26510b8871e0d687,7e097ceb497e25947325,exact H6C observation_materializes_cell edge
2,9ab2011a3892edfac889,cfe502c53f19a90449e6,observation:b9d9aa4f2beeae259666,edge:21706f3202685dc5f05d,indicator_cell:08e4d6d55af0774caa62,94651a48df17d3b56a1b,exact H6C observation_materializes_cell edge
2,9ab2011a3892edfac889,69a1ecde0bf18c3a84ae,observation:c0e44bfaff03fb3d0e85,edge:e4022255048e6dabb39d,indicator_cell:ae652356f54e9da22915,af12d1ae8c1555d899be,exact H6C observation_materializes_cell edge
2,9ab2011a3892edfac889,356dadeceba952eb2a0c,observation:be61f5d1cfa355a917f0,edge:03cc979a520aca340bfc,indicator_cell:5fd7f1c394470ba4a878,e33e2f8351747300cba7,exact H6C observation_materializes_cell edge
2,9ab2011a3892edfac889,f2b9db071dd4766d6307,observation:0970843830c2ae7c8503,edge:984d94cd51c202b80a3b,indicator_cell:f70883b0424bebcca783,e4982bb0d13ac08094aa,exact H6C observation_materializes_cell edge
3,b132d2fab33291e0733e,09bd4158de9b28a03d83,observation:3f64e0aa5f69399e8a04,edge:0b68d711a0ea7d53c21b,indicator_cell:932a2e3f54ff599be81b,1c03a76cb6a98f53235d,exact H6C observation_materializes_cell edge
3,b132d2fab33291e0733e,df8ae4a2843995c9185d,observation:96242f6669896b9035de,edge:e92e4c71290275321795,indicator_cell:9f4335805533dc1644dc,3087bf08970908c509ca,exact H6C observation_materializes_cell edge
3,b132d2fab33291e0733e,87cdfc70ee6d45666fec,observation:fd786e62692104822637,edge:d46fd9ade8f77a02e18a,indicator_cell:7893e69f53cf7b6d0284,425bfdd5ca02ab3e3cc1,exact H6C observation_materializes_cell edge
3,b132d2fab33291e0733e,e06e475e6f5cb8748897,observation:4d4d1e51259f85b21f1d,edge:cb3b0bc6bb10cbc7a1af,indicator_cell:e30254e6593a5ad1768e,4aab4307f4906503d2a4,exact H6C observation_materializes_cell edge
3,b132d2fab33291e0733e,4af2e0e7825c9f2ac443,observation:6e3265bf4a2eadf39698,edge:89cbaef1797c7e6e77dc,indicator_cell:44587469161d5e598f2a,71a013b45f47a8aefa7d,exact H6C observation_materializes_cell edge
3,b132d2fab33291e0733e,cb0d5147421c66597d95,observation:3a58dba97aae26b9300b,edge:fb10d1507128aa608d3b,indicator_cell:feb2ac97cbf469e6c701,7c1c5248808f73b2f3a6,exact H6C observation_materializes_cell edge
3,b132d2fab33291e0733e,b55b4fefc9148be667c1,observation:c8636f1fbb21ce328ae5,edge:94a2dbb9883a00825d75,indicator_cell:08e4d6d55af0774caa62,94651a48df17d3b56a1b,exact H6C observation_materializes_cell edge
3,b132d2fab33291e0733e,d3d17696ddd6a7bcb743,observation:202f97684ab8629aa916,edge:0ebd489b721451dc03bc,indicator_cell:ae652356f54e9da22915,af12d1ae8c1555d899be,exact H6C observation_materializes_cell edge
3,b132d2fab33291e0733e,506a60e86fb32d9c608b,observation:de0321deca75854654ba,edge:aa7235033e296af44a2b,indicator_cell:5fd7f1c394470ba4a878,e33e2f8351747300cba7,exact H6C observation_materializes_cell edge
3,b132d2fab33291e0733e,49b82f2b710bfb946f9f,observation:864f2c2d1b88e471e06c,edge:c6fd3b3ba2ab84a177ae,indicator_cell:f70883b0424bebcca783,e4982bb0d13ac08094aa,exact H6C observation_materializes_cell edge
