treatment_id,requested_observation_id,requested_value_lexeme,returned_observation_id,returned_value_lexeme,locator,addressable,expected_addressable,exact_match
B1,49b82f2b710bfb946f9f,4.14,49b82f2b710bfb946f9f,4.14,snapshot_orders=3,yes,yes,yes
B1,4af2e0e7825c9f2ac443,19.25,4af2e0e7825c9f2ac443,19.25,snapshot_orders=3,yes,yes,yes
B1,506a60e86fb32d9c608b,3.66,506a60e86fb32d9c608b,3.66,snapshot_orders=3,yes,yes,yes
B1,5fab5a82719cacffcbe4,-1.14,5fab5a82719cacffcbe4,-1.14,snapshot_orders=2,yes,yes,yes
B1,69745dd19d776c69570e,11.05,69745dd19d776c69570e,11.05,snapshot_orders=2,yes,yes,yes
B1,69a1ecde0bf18c3a84ae,-0.72,69a1ecde0bf18c3a84ae,-0.72,snapshot_orders=2,yes,yes,yes
B1,6ad6dfc4b05d0f292d1f,11.05,6ad6dfc4b05d0f292d1f,11.05,snapshot_orders=1,yes,yes,yes
B1,6fbf4aae1b9a6de0051a,1.13,6fbf4aae1b9a6de0051a,1.13,snapshot_orders=1,yes,yes,yes
B1,72e8553f361951a0c2c8,-0.21,72e8553f361951a0c2c8,-0.21,snapshot_orders=1,yes,yes,yes
B1,74fed6e1c3d917191be6,-3.26,74fed6e1c3d917191be6,-3.26,snapshot_orders=2;3,yes,yes,yes
B1,87cdfc70ee6d45666fec,12.04,87cdfc70ee6d45666fec,12.04,snapshot_orders=3,yes,yes,yes
B1,9fcd6d7d4f2e24e56db1,-1.14,9fcd6d7d4f2e24e56db1,-1.14,snapshot_orders=1,yes,yes,yes
B1,9fe0a3bb2baed4ce3810,1.16,9fe0a3bb2baed4ce3810,1.16,snapshot_orders=1,yes,yes,yes
B1,a16c09b869c2ad72a4ea,-4.03,a16c09b869c2ad72a4ea,-4.03,snapshot_orders=1,yes,yes,yes
B1,a34fc65bf470c1e7ce20,-0.72,a34fc65bf470c1e7ce20,-0.72,snapshot_orders=1,yes,yes,yes
B1,ad8a7f5c7869af674e3a,2.76,ad8a7f5c7869af674e3a,2.76,snapshot_orders=2;3,yes,yes,yes
B1,b55b4fefc9148be667c1,1.15,b55b4fefc9148be667c1,1.15,snapshot_orders=3,yes,yes,yes
B1,bc696217068415ca73e2,-4.03,bc696217068415ca73e2,-4.03,snapshot_orders=2,yes,yes,yes
B1,cb0d5147421c66597d95,1.18,cb0d5147421c66597d95,1.18,snapshot_orders=3,yes,yes,yes
B1,cfe502c53f19a90449e6,1.13,cfe502c53f19a90449e6,1.13,snapshot_orders=2,yes,yes,yes
B1,d3d17696ddd6a7bcb743,-0.69,d3d17696ddd6a7bcb743,-0.69,snapshot_orders=3,yes,yes,yes
B1,d99bc3566095bc6ee582,51.16,d99bc3566095bc6ee582,51.16,snapshot_orders=2;3,yes,yes,yes
B1,deabb3549fa520121850,19.30,deabb3549fa520121850,19.30,snapshot_orders=2,yes,yes,yes
B1,df8ae4a2843995c9185d,-0.19,df8ae4a2843995c9185d,-0.19,snapshot_orders=3,yes,yes,yes
B1,e06e475e6f5cb8748897,-4.07,e06e475e6f5cb8748897,-4.07,snapshot_orders=3,yes,yes,yes
B1,e313de2e0e1a97bc17ff,51.20,e313de2e0e1a97bc17ff,51.20,snapshot_orders=1,yes,yes,yes
B1,edde0b27f2f31f5fb962,13.10,edde0b27f2f31f5fb962,13.10,snapshot_orders=2;3,yes,yes,yes
B1,f2b9db071dd4766d6307,4.18,f2b9db071dd4766d6307,4.18,snapshot_orders=2,yes,yes,yes
B1,f4b6cbcb460eaef0f82e,4.18,f4b6cbcb460eaef0f82e,4.18,snapshot_orders=1,yes,yes,yes
B1,f831d08aa91c95864cd0,2.52,f831d08aa91c95864cd0,2.52,snapshot_orders=1,yes,yes,yes
B2,05a8528c88245297d4ba,13.21,,,,no,no,not_applicable
B2,09bd4158de9b28a03d83,-1.17,,,,no,no,not_applicable
B2,1721995859418ecf608c,-0.21,1721995859418ecf608c,-0.21,current,yes,yes,yes
B2,211b04665de26cd11d77,-3.03,,,,no,no,not_applicable
B2,2766cbe2cf960f73ba05,19.30,,,,no,no,not_applicable
B2,27f750d142897641b3b1,3.68,,,,no,no,not_applicable
B2,356dadeceba952eb2a0c,3.68,356dadeceba952eb2a0c,3.68,current,yes,yes,yes
B2,463dda3fe5140e2fbed2,1.16,463dda3fe5140e2fbed2,1.16,current,yes,yes,yes
B2,49b82f2b710bfb946f9f,4.14,,,,no,no,not_applicable
B2,4af2e0e7825c9f2ac443,19.25,,,,no,no,not_applicable
B2,506a60e86fb32d9c608b,3.66,,,,no,no,not_applicable
B2,5fab5a82719cacffcbe4,-1.14,5fab5a82719cacffcbe4,-1.14,current,yes,yes,yes
B2,69745dd19d776c69570e,11.05,69745dd19d776c69570e,11.05,current,yes,yes,yes
B2,69a1ecde0bf18c3a84ae,-0.72,69a1ecde0bf18c3a84ae,-0.72,current,yes,yes,yes
B2,6ad6dfc4b05d0f292d1f,11.05,,,,no,no,not_applicable
B2,6fbf4aae1b9a6de0051a,1.13,,,,no,no,not_applicable
B2,72e8553f361951a0c2c8,-0.21,,,,no,no,not_applicable
B2,74fed6e1c3d917191be6,-3.26,74fed6e1c3d917191be6,-3.26,current,yes,yes,yes
B2,87cdfc70ee6d45666fec,12.04,,,,no,no,not_applicable
B2,9fcd6d7d4f2e24e56db1,-1.14,,,,no,no,not_applicable
B2,9fe0a3bb2baed4ce3810,1.16,,,,no,no,not_applicable
B2,a16c09b869c2ad72a4ea,-4.03,,,,no,no,not_applicable
B2,a34fc65bf470c1e7ce20,-0.72,,,,no,no,not_applicable
B2,ad8a7f5c7869af674e3a,2.76,ad8a7f5c7869af674e3a,2.76,current,yes,yes,yes
B2,b55b4fefc9148be667c1,1.15,,,,no,no,not_applicable
B2,bc696217068415ca73e2,-4.03,bc696217068415ca73e2,-4.03,current,yes,yes,yes
B2,cb0d5147421c66597d95,1.18,,,,no,no,not_applicable
B2,cfe502c53f19a90449e6,1.13,cfe502c53f19a90449e6,1.13,current,yes,yes,yes
B2,d3d17696ddd6a7bcb743,-0.69,,,,no,no,not_applicable
B2,d99bc3566095bc6ee582,51.16,d99bc3566095bc6ee582,51.16,current,yes,yes,yes
B2,deabb3549fa520121850,19.30,deabb3549fa520121850,19.30,current,yes,yes,yes
B2,df8ae4a2843995c9185d,-0.19,,,,no,no,not_applicable
B2,e06e475e6f5cb8748897,-4.07,,,,no,no,not_applicable
B2,e313de2e0e1a97bc17ff,51.20,,,,no,no,not_applicable
B2,edde0b27f2f31f5fb962,13.10,edde0b27f2f31f5fb962,13.10,current,yes,yes,yes
B2,f2b9db071dd4766d6307,4.18,f2b9db071dd4766d6307,4.18,current,yes,yes,yes
B2,f4b6cbcb460eaef0f82e,4.18,,,,no,no,not_applicable
B2,f831d08aa91c95864cd0,2.52,,,,no,no,not_applicable
B3,05a8528c88245297d4ba,13.21,05a8528c88245297d4ba,13.21,vintage_key,yes,yes,yes
B3,09bd4158de9b28a03d83,-1.17,09bd4158de9b28a03d83,-1.17,vintage_key,yes,yes,yes
B3,1721995859418ecf608c,-0.21,1721995859418ecf608c,-0.21,vintage_key,yes,yes,yes
B3,211b04665de26cd11d77,-3.03,211b04665de26cd11d77,-3.03,vintage_key,yes,yes,yes
B3,2766cbe2cf960f73ba05,19.30,2766cbe2cf960f73ba05,19.30,vintage_key,yes,yes,yes
B3,27f750d142897641b3b1,3.68,27f750d142897641b3b1,3.68,vintage_key,yes,yes,yes
B3,356dadeceba952eb2a0c,3.68,356dadeceba952eb2a0c,3.68,vintage_key,yes,yes,yes
B3,463dda3fe5140e2fbed2,1.16,463dda3fe5140e2fbed2,1.16,vintage_key,yes,yes,yes
B3,49b82f2b710bfb946f9f,4.14,49b82f2b710bfb946f9f,4.14,vintage_key,yes,yes,yes
B3,4af2e0e7825c9f2ac443,19.25,4af2e0e7825c9f2ac443,19.25,vintage_key,yes,yes,yes
B3,506a60e86fb32d9c608b,3.66,506a60e86fb32d9c608b,3.66,vintage_key,yes,yes,yes
B3,5fab5a82719cacffcbe4,-1.14,5fab5a82719cacffcbe4,-1.14,vintage_key,yes,yes,yes
B3,69745dd19d776c69570e,11.05,69745dd19d776c69570e,11.05,vintage_key,yes,yes,yes
B3,69a1ecde0bf18c3a84ae,-0.72,69a1ecde0bf18c3a84ae,-0.72,vintage_key,yes,yes,yes
B3,6ad6dfc4b05d0f292d1f,11.05,6ad6dfc4b05d0f292d1f,11.05,vintage_key,yes,yes,yes
B3,6fbf4aae1b9a6de0051a,1.13,6fbf4aae1b9a6de0051a,1.13,vintage_key,yes,yes,yes
B3,72e8553f361951a0c2c8,-0.21,72e8553f361951a0c2c8,-0.21,vintage_key,yes,yes,yes
B3,74fed6e1c3d917191be6,-3.26,74fed6e1c3d917191be6,-3.26,vintage_key,yes,yes,yes
B3,87cdfc70ee6d45666fec,12.04,87cdfc70ee6d45666fec,12.04,vintage_key,yes,yes,yes
B3,9fcd6d7d4f2e24e56db1,-1.14,9fcd6d7d4f2e24e56db1,-1.14,vintage_key,yes,yes,yes
B3,9fe0a3bb2baed4ce3810,1.16,9fe0a3bb2baed4ce3810,1.16,vintage_key,yes,yes,yes
B3,a16c09b869c2ad72a4ea,-4.03,a16c09b869c2ad72a4ea,-4.03,vintage_key,yes,yes,yes
B3,a34fc65bf470c1e7ce20,-0.72,a34fc65bf470c1e7ce20,-0.72,vintage_key,yes,yes,yes
B3,ad8a7f5c7869af674e3a,2.76,ad8a7f5c7869af674e3a,2.76,vintage_key,yes,yes,yes
B3,b55b4fefc9148be667c1,1.15,b55b4fefc9148be667c1,1.15,vintage_key,yes,yes,yes
B3,bc696217068415ca73e2,-4.03,bc696217068415ca73e2,-4.03,vintage_key,yes,yes,yes
B3,cb0d5147421c66597d95,1.18,cb0d5147421c66597d95,1.18,vintage_key,yes,yes,yes
B3,cfe502c53f19a90449e6,1.13,cfe502c53f19a90449e6,1.13,vintage_key,yes,yes,yes
B3,d3d17696ddd6a7bcb743,-0.69,d3d17696ddd6a7bcb743,-0.69,vintage_key,yes,yes,yes
B3,d99bc3566095bc6ee582,51.16,d99bc3566095bc6ee582,51.16,vintage_key,yes,yes,yes
B3,deabb3549fa520121850,19.30,deabb3549fa520121850,19.30,vintage_key,yes,yes,yes
B3,df8ae4a2843995c9185d,-0.19,df8ae4a2843995c9185d,-0.19,vintage_key,yes,yes,yes
B3,e06e475e6f5cb8748897,-4.07,e06e475e6f5cb8748897,-4.07,vintage_key,yes,yes,yes
B3,e313de2e0e1a97bc17ff,51.20,e313de2e0e1a97bc17ff,51.20,vintage_key,yes,yes,yes
B3,edde0b27f2f31f5fb962,13.10,edde0b27f2f31f5fb962,13.10,vintage_key,yes,yes,yes
B3,f2b9db071dd4766d6307,4.18,f2b9db071dd4766d6307,4.18,vintage_key,yes,yes,yes
B3,f4b6cbcb460eaef0f82e,4.18,f4b6cbcb460eaef0f82e,4.18,vintage_key,yes,yes,yes
B3,f831d08aa91c95864cd0,2.52,f831d08aa91c95864cd0,2.52,vintage_key,yes,yes,yes
