scenario_id,treatment_id,requested_observation_id,request_kind,requested_value_lexeme,returned_value_lexeme,locator,addressable,expected_addressable,exact_match,repetitions_agreeing
validation_001,B0,f2b9db071dd4766d6307,official,4.18,,,no,no,not_applicable,3
validation_001,B0,f4b6cbcb460eaef0f82e,official,4.18,,,no,no,not_applicable,3
validation_001,B0,f831d08aa91c95864cd0,official,2.52,,,no,no,not_applicable,3
validation_001,B1,05a8528c88245297d4ba,official,13.21,13.21,snapshot_orders=1,yes,yes,yes,3
validation_001,B1,09bd4158de9b28a03d83,official,-1.17,-1.17,snapshot_orders=3;4,yes,yes,yes,3
validation_001,B1,1721995859418ecf608c,official,-0.21,-0.21,snapshot_orders=2,yes,yes,yes,3
validation_001,B1,211b04665de26cd11d77,official,-3.03,-3.03,snapshot_orders=1,yes,yes,yes,3
validation_001,B1,2766cbe2cf960f73ba05,official,19.30,19.30,snapshot_orders=1,yes,yes,yes,3
validation_001,B1,27f750d142897641b3b1,official,3.68,3.68,snapshot_orders=1,yes,yes,yes,3
validation_001,B1,356dadeceba952eb2a0c,official,3.68,3.68,snapshot_orders=2,yes,yes,yes,3
validation_001,B1,463dda3fe5140e2fbed2,official,1.16,1.16,snapshot_orders=2,yes,yes,yes,3
validation_001,B1,49b82f2b710bfb946f9f,official,4.14,4.14,snapshot_orders=3;4,yes,yes,yes,3
validation_001,B1,4af2e0e7825c9f2ac443,official,19.25,19.25,snapshot_orders=3;4,yes,yes,yes,3
validation_001,B1,506a60e86fb32d9c608b,official,3.66,3.66,snapshot_orders=3;4,yes,yes,yes,3
validation_001,B1,5fab5a82719cacffcbe4,official,-1.14,-1.14,snapshot_orders=2,yes,yes,yes,3
validation_001,B1,69745dd19d776c69570e,official,11.05,11.05,snapshot_orders=2,yes,yes,yes,3
validation_001,B1,69a1ecde0bf18c3a84ae,official,-0.72,-0.72,snapshot_orders=2,yes,yes,yes,3
validation_001,B1,6ad6dfc4b05d0f292d1f,official,11.05,11.05,snapshot_orders=1,yes,yes,yes,3
validation_001,B1,6fbf4aae1b9a6de0051a,official,1.13,1.13,snapshot_orders=1,yes,yes,yes,3
validation_001,B1,72e8553f361951a0c2c8,official,-0.21,-0.21,snapshot_orders=1,yes,yes,yes,3
validation_001,B1,74fed6e1c3d917191be6,official,-3.26,-3.26,snapshot_orders=2;3;4,yes,yes,yes,3
validation_001,B1,87cdfc70ee6d45666fec,official,12.04,12.04,snapshot_orders=3;4,yes,yes,yes,3
validation_001,B1,9fcd6d7d4f2e24e56db1,official,-1.14,-1.14,snapshot_orders=1,yes,yes,yes,3
validation_001,B1,9fe0a3bb2baed4ce3810,official,1.16,1.16,snapshot_orders=1,yes,yes,yes,3
validation_001,B1,a16c09b869c2ad72a4ea,official,-4.03,-4.03,snapshot_orders=1,yes,yes,yes,3
validation_001,B1,a34fc65bf470c1e7ce20,official,-0.72,-0.72,snapshot_orders=1,yes,yes,yes,3
validation_001,B1,ad8a7f5c7869af674e3a,official,2.76,2.76,snapshot_orders=2;3;4,yes,yes,yes,3
validation_001,B1,b55b4fefc9148be667c1,official,1.15,1.15,snapshot_orders=3;4,yes,yes,yes,3
validation_001,B1,b5718af8676ffae2106a,synthetic,1.19,1.19,snapshot_orders=4,yes,yes,yes,3
validation_001,B1,bc696217068415ca73e2,official,-4.03,-4.03,snapshot_orders=2,yes,yes,yes,3
validation_001,B1,cb0d5147421c66597d95,official,1.18,1.18,snapshot_orders=3,yes,yes,yes,3
validation_001,B1,cfe502c53f19a90449e6,official,1.13,1.13,snapshot_orders=2,yes,yes,yes,3
validation_001,B1,d3d17696ddd6a7bcb743,official,-0.69,-0.69,snapshot_orders=3;4,yes,yes,yes,3
validation_001,B1,d99bc3566095bc6ee582,official,51.16,51.16,snapshot_orders=2;3;4,yes,yes,yes,3
validation_001,B1,deabb3549fa520121850,official,19.30,19.30,snapshot_orders=2,yes,yes,yes,3
validation_001,B1,df8ae4a2843995c9185d,official,-0.19,-0.19,snapshot_orders=3;4,yes,yes,yes,3
validation_001,B1,e06e475e6f5cb8748897,official,-4.07,-4.07,snapshot_orders=3;4,yes,yes,yes,3
validation_001,B1,e313de2e0e1a97bc17ff,official,51.20,51.20,snapshot_orders=1,yes,yes,yes,3
validation_001,B1,edde0b27f2f31f5fb962,official,13.10,13.10,snapshot_orders=2;3;4,yes,yes,yes,3
validation_001,B1,f2b9db071dd4766d6307,official,4.18,4.18,snapshot_orders=2,yes,yes,yes,3
validation_001,B1,f4b6cbcb460eaef0f82e,official,4.18,4.18,snapshot_orders=1,yes,yes,yes,3
validation_001,B1,f831d08aa91c95864cd0,official,2.52,2.52,snapshot_orders=1,yes,yes,yes,3
validation_001,B2,05a8528c88245297d4ba,official,13.21,,,no,no,not_applicable,3
validation_001,B2,09bd4158de9b28a03d83,official,-1.17,,,no,no,not_applicable,3
validation_001,B2,1721995859418ecf608c,official,-0.21,-0.21,current,yes,yes,yes,3
validation_001,B2,211b04665de26cd11d77,official,-3.03,,,no,no,not_applicable,3
validation_001,B2,2766cbe2cf960f73ba05,official,19.30,,,no,no,not_applicable,3
validation_001,B2,27f750d142897641b3b1,official,3.68,,,no,no,not_applicable,3
validation_001,B2,356dadeceba952eb2a0c,official,3.68,3.68,current,yes,yes,yes,3
validation_001,B2,463dda3fe5140e2fbed2,official,1.16,1.16,current,yes,yes,yes,3
validation_001,B2,49b82f2b710bfb946f9f,official,4.14,,,no,no,not_applicable,3
validation_001,B2,4af2e0e7825c9f2ac443,official,19.25,,,no,no,not_applicable,3
validation_001,B2,506a60e86fb32d9c608b,official,3.66,,,no,no,not_applicable,3
validation_001,B2,5fab5a82719cacffcbe4,official,-1.14,-1.14,current,yes,yes,yes,3
validation_001,B2,69745dd19d776c69570e,official,11.05,11.05,current,yes,yes,yes,3
validation_001,B2,69a1ecde0bf18c3a84ae,official,-0.72,-0.72,current,yes,yes,yes,3
validation_001,B2,6ad6dfc4b05d0f292d1f,official,11.05,,,no,no,not_applicable,3
validation_001,B2,6fbf4aae1b9a6de0051a,official,1.13,,,no,no,not_applicable,3
validation_001,B2,72e8553f361951a0c2c8,official,-0.21,,,no,no,not_applicable,3
validation_001,B2,74fed6e1c3d917191be6,official,-3.26,-3.26,current,yes,yes,yes,3
validation_001,B2,87cdfc70ee6d45666fec,official,12.04,,,no,no,not_applicable,3
validation_001,B2,9fcd6d7d4f2e24e56db1,official,-1.14,,,no,no,not_applicable,3
validation_001,B2,9fe0a3bb2baed4ce3810,official,1.16,,,no,no,not_applicable,3
validation_001,B2,a16c09b869c2ad72a4ea,official,-4.03,,,no,no,not_applicable,3
validation_001,B2,a34fc65bf470c1e7ce20,official,-0.72,,,no,no,not_applicable,3
validation_001,B2,ad8a7f5c7869af674e3a,official,2.76,2.76,current,yes,yes,yes,3
validation_001,B2,b55b4fefc9148be667c1,official,1.15,,,no,no,not_applicable,3
validation_001,B2,b5718af8676ffae2106a,synthetic,1.19,,,no,no,not_applicable,3
validation_001,B2,bc696217068415ca73e2,official,-4.03,-4.03,current,yes,yes,yes,3
validation_001,B2,cb0d5147421c66597d95,official,1.18,,,no,no,not_applicable,3
validation_001,B2,cfe502c53f19a90449e6,official,1.13,1.13,current,yes,yes,yes,3
validation_001,B2,d3d17696ddd6a7bcb743,official,-0.69,,,no,no,not_applicable,3
validation_001,B2,d99bc3566095bc6ee582,official,51.16,51.16,current,yes,yes,yes,3
validation_001,B2,deabb3549fa520121850,official,19.30,19.30,current,yes,yes,yes,3
validation_001,B2,df8ae4a2843995c9185d,official,-0.19,,,no,no,not_applicable,3
validation_001,B2,e06e475e6f5cb8748897,official,-4.07,,,no,no,not_applicable,3
validation_001,B2,e313de2e0e1a97bc17ff,official,51.20,,,no,no,not_applicable,3
validation_001,B2,edde0b27f2f31f5fb962,official,13.10,13.10,current,yes,yes,yes,3
validation_001,B2,f2b9db071dd4766d6307,official,4.18,4.18,current,yes,yes,yes,3
validation_001,B2,f4b6cbcb460eaef0f82e,official,4.18,,,no,no,not_applicable,3
validation_001,B2,f831d08aa91c95864cd0,official,2.52,,,no,no,not_applicable,3
validation_001,B3,05a8528c88245297d4ba,official,13.21,13.21,vintage_key,yes,yes,yes,3
validation_001,B3,09bd4158de9b28a03d83,official,-1.17,-1.17,vintage_key,yes,yes,yes,3
validation_001,B3,1721995859418ecf608c,official,-0.21,-0.21,vintage_key,yes,yes,yes,3
validation_001,B3,211b04665de26cd11d77,official,-3.03,-3.03,vintage_key,yes,yes,yes,3
validation_001,B3,2766cbe2cf960f73ba05,official,19.30,19.30,vintage_key,yes,yes,yes,3
validation_001,B3,27f750d142897641b3b1,official,3.68,3.68,vintage_key,yes,yes,yes,3
validation_001,B3,356dadeceba952eb2a0c,official,3.68,3.68,vintage_key,yes,yes,yes,3
validation_001,B3,463dda3fe5140e2fbed2,official,1.16,1.16,vintage_key,yes,yes,yes,3
validation_001,B3,49b82f2b710bfb946f9f,official,4.14,4.14,vintage_key,yes,yes,yes,3
validation_001,B3,4af2e0e7825c9f2ac443,official,19.25,19.25,vintage_key,yes,yes,yes,3
validation_001,B3,506a60e86fb32d9c608b,official,3.66,3.66,vintage_key,yes,yes,yes,3
validation_001,B3,5fab5a82719cacffcbe4,official,-1.14,-1.14,vintage_key,yes,yes,yes,3
validation_001,B3,69745dd19d776c69570e,official,11.05,11.05,vintage_key,yes,yes,yes,3
validation_001,B3,69a1ecde0bf18c3a84ae,official,-0.72,-0.72,vintage_key,yes,yes,yes,3
validation_001,B3,6ad6dfc4b05d0f292d1f,official,11.05,11.05,vintage_key,yes,yes,yes,3
validation_001,B3,6fbf4aae1b9a6de0051a,official,1.13,1.13,vintage_key,yes,yes,yes,3
validation_001,B3,72e8553f361951a0c2c8,official,-0.21,-0.21,vintage_key,yes,yes,yes,3
validation_001,B3,74fed6e1c3d917191be6,official,-3.26,-3.26,vintage_key,yes,yes,yes,3
validation_001,B3,87cdfc70ee6d45666fec,official,12.04,12.04,vintage_key,yes,yes,yes,3
validation_001,B3,9fcd6d7d4f2e24e56db1,official,-1.14,-1.14,vintage_key,yes,yes,yes,3
validation_001,B3,9fe0a3bb2baed4ce3810,official,1.16,1.16,vintage_key,yes,yes,yes,3
validation_001,B3,a16c09b869c2ad72a4ea,official,-4.03,-4.03,vintage_key,yes,yes,yes,3
validation_001,B3,a34fc65bf470c1e7ce20,official,-0.72,-0.72,vintage_key,yes,yes,yes,3
validation_001,B3,ad8a7f5c7869af674e3a,official,2.76,2.76,vintage_key,yes,yes,yes,3
validation_001,B3,b55b4fefc9148be667c1,official,1.15,1.15,vintage_key,yes,yes,yes,3
validation_001,B3,b5718af8676ffae2106a,synthetic,1.19,1.19,vintage_key,yes,yes,yes,3
validation_001,B3,bc696217068415ca73e2,official,-4.03,-4.03,vintage_key,yes,yes,yes,3
validation_001,B3,cb0d5147421c66597d95,official,1.18,1.18,vintage_key,yes,yes,yes,3
validation_001,B3,cfe502c53f19a90449e6,official,1.13,1.13,vintage_key,yes,yes,yes,3
validation_001,B3,d3d17696ddd6a7bcb743,official,-0.69,-0.69,vintage_key,yes,yes,yes,3
validation_001,B3,d99bc3566095bc6ee582,official,51.16,51.16,vintage_key,yes,yes,yes,3
validation_001,B3,deabb3549fa520121850,official,19.30,19.30,vintage_key,yes,yes,yes,3
validation_001,B3,df8ae4a2843995c9185d,official,-0.19,-0.19,vintage_key,yes,yes,yes,3
validation_001,B3,e06e475e6f5cb8748897,official,-4.07,-4.07,vintage_key,yes,yes,yes,3
validation_001,B3,e313de2e0e1a97bc17ff,official,51.20,51.20,vintage_key,yes,yes,yes,3
validation_001,B3,edde0b27f2f31f5fb962,official,13.10,13.10,vintage_key,yes,yes,yes,3
validation_001,B3,f2b9db071dd4766d6307,official,4.18,4.18,vintage_key,yes,yes,yes,3
validation_001,B3,f4b6cbcb460eaef0f82e,official,4.18,4.18,vintage_key,yes,yes,yes,3
validation_001,B3,f831d08aa91c95864cd0,official,2.52,2.52,vintage_key,yes,yes,yes,3
validation_002,B0,05a8528c88245297d4ba,official,13.21,,,no,no,not_applicable,3
validation_002,B0,09bd4158de9b28a03d83,official,-1.17,-1.17,current,yes,yes,yes,3
validation_002,B0,1721995859418ecf608c,official,-0.21,,,no,no,not_applicable,3
validation_002,B0,211b04665de26cd11d77,official,-3.03,,,no,no,not_applicable,3
validation_002,B0,238bbedcececb0d35387,synthetic,1.19,1.19,current,yes,yes,yes,3
validation_002,B0,2766cbe2cf960f73ba05,official,19.30,,,no,no,not_applicable,3
validation_002,B0,27f750d142897641b3b1,official,3.68,,,no,no,not_applicable,3
validation_002,B0,356dadeceba952eb2a0c,official,3.68,,,no,no,not_applicable,3
validation_002,B0,463dda3fe5140e2fbed2,official,1.16,,,no,no,not_applicable,3
validation_002,B0,49b82f2b710bfb946f9f,official,4.14,4.14,current,yes,yes,yes,3
validation_002,B0,4a1084035729f4017f16,synthetic,51.17,51.17,current,yes,yes,yes,3
validation_002,B0,4af2e0e7825c9f2ac443,official,19.25,19.25,current,yes,yes,yes,3
validation_002,B0,506a60e86fb32d9c608b,official,3.66,3.66,current,yes,yes,yes,3
validation_002,B0,5fab5a82719cacffcbe4,official,-1.14,,,no,no,not_applicable,3
validation_002,B0,69745dd19d776c69570e,official,11.05,,,no,no,not_applicable,3
validation_002,B0,69a1ecde0bf18c3a84ae,official,-0.72,,,no,no,not_applicable,3
validation_002,B0,6ad6dfc4b05d0f292d1f,official,11.05,,,no,no,not_applicable,3
validation_002,B0,6fbf4aae1b9a6de0051a,official,1.13,,,no,no,not_applicable,3
validation_002,B0,72e8553f361951a0c2c8,official,-0.21,,,no,no,not_applicable,3
validation_002,B0,74fed6e1c3d917191be6,official,-3.26,-3.26,current,yes,yes,yes,3
validation_002,B0,87cdfc70ee6d45666fec,official,12.04,12.04,current,yes,yes,yes,3
validation_002,B0,9fcd6d7d4f2e24e56db1,official,-1.14,,,no,no,not_applicable,3
validation_002,B0,9fe0a3bb2baed4ce3810,official,1.16,,,no,no,not_applicable,3
validation_002,B0,a16c09b869c2ad72a4ea,official,-4.03,,,no,no,not_applicable,3
validation_002,B0,a34fc65bf470c1e7ce20,official,-0.72,,,no,no,not_applicable,3
validation_002,B0,ad8a7f5c7869af674e3a,official,2.76,2.76,current,yes,yes,yes,3
validation_002,B0,b55b4fefc9148be667c1,official,1.15,1.15,current,yes,yes,yes,3
validation_002,B0,bc696217068415ca73e2,official,-4.03,,,no,no,not_applicable,3
validation_002,B0,cb0d5147421c66597d95,official,1.18,,,no,no,not_applicable,3
validation_002,B0,cfe502c53f19a90449e6,official,1.13,,,no,no,not_applicable,3
validation_002,B0,d3d17696ddd6a7bcb743,official,-0.69,-0.69,current,yes,yes,yes,3
validation_002,B0,d99bc3566095bc6ee582,official,51.16,,,no,no,not_applicable,3
validation_002,B0,deabb3549fa520121850,official,19.30,,,no,no,not_applicable,3
validation_002,B0,df8ae4a2843995c9185d,official,-0.19,-0.19,current,yes,yes,yes,3
validation_002,B0,e06e475e6f5cb8748897,official,-4.07,-4.07,current,yes,yes,yes,3
validation_002,B0,e313de2e0e1a97bc17ff,official,51.20,,,no,no,not_applicable,3
validation_002,B0,edde0b27f2f31f5fb962,official,13.10,13.10,current,yes,yes,yes,3
validation_002,B0,f2b9db071dd4766d6307,official,4.18,,,no,no,not_applicable,3
validation_002,B0,f4b6cbcb460eaef0f82e,official,4.18,,,no,no,not_applicable,3
validation_002,B0,f831d08aa91c95864cd0,official,2.52,,,no,no,not_applicable,3
validation_002,B1,05a8528c88245297d4ba,official,13.21,13.21,snapshot_orders=1,yes,yes,yes,3
validation_002,B1,09bd4158de9b28a03d83,official,-1.17,-1.17,snapshot_orders=3;4,yes,yes,yes,3
validation_002,B1,1721995859418ecf608c,official,-0.21,-0.21,snapshot_orders=2,yes,yes,yes,3
validation_002,B1,211b04665de26cd11d77,official,-3.03,-3.03,snapshot_orders=1,yes,yes,yes,3
validation_002,B1,238bbedcececb0d35387,synthetic,1.19,1.19,snapshot_orders=4,yes,yes,yes,3
validation_002,B1,2766cbe2cf960f73ba05,official,19.30,19.30,snapshot_orders=1,yes,yes,yes,3
validation_002,B1,27f750d142897641b3b1,official,3.68,3.68,snapshot_orders=1,yes,yes,yes,3
validation_002,B1,356dadeceba952eb2a0c,official,3.68,3.68,snapshot_orders=2,yes,yes,yes,3
validation_002,B1,463dda3fe5140e2fbed2,official,1.16,1.16,snapshot_orders=2,yes,yes,yes,3
validation_002,B1,49b82f2b710bfb946f9f,official,4.14,4.14,snapshot_orders=3;4,yes,yes,yes,3
validation_002,B1,4a1084035729f4017f16,synthetic,51.17,51.17,snapshot_orders=4,yes,yes,yes,3
validation_002,B1,4af2e0e7825c9f2ac443,official,19.25,19.25,snapshot_orders=3;4,yes,yes,yes,3
validation_002,B1,506a60e86fb32d9c608b,official,3.66,3.66,snapshot_orders=3;4,yes,yes,yes,3
validation_002,B1,5fab5a82719cacffcbe4,official,-1.14,-1.14,snapshot_orders=2,yes,yes,yes,3
validation_002,B1,69745dd19d776c69570e,official,11.05,11.05,snapshot_orders=2,yes,yes,yes,3
validation_002,B1,69a1ecde0bf18c3a84ae,official,-0.72,-0.72,snapshot_orders=2,yes,yes,yes,3
validation_002,B1,6ad6dfc4b05d0f292d1f,official,11.05,11.05,snapshot_orders=1,yes,yes,yes,3
validation_002,B1,6fbf4aae1b9a6de0051a,official,1.13,1.13,snapshot_orders=1,yes,yes,yes,3
validation_002,B1,72e8553f361951a0c2c8,official,-0.21,-0.21,snapshot_orders=1,yes,yes,yes,3
validation_002,B1,74fed6e1c3d917191be6,official,-3.26,-3.26,snapshot_orders=2;3;4,yes,yes,yes,3
validation_002,B1,87cdfc70ee6d45666fec,official,12.04,12.04,snapshot_orders=3;4,yes,yes,yes,3
validation_002,B1,9fcd6d7d4f2e24e56db1,official,-1.14,-1.14,snapshot_orders=1,yes,yes,yes,3
validation_002,B1,9fe0a3bb2baed4ce3810,official,1.16,1.16,snapshot_orders=1,yes,yes,yes,3
validation_002,B1,a16c09b869c2ad72a4ea,official,-4.03,-4.03,snapshot_orders=1,yes,yes,yes,3
validation_002,B1,a34fc65bf470c1e7ce20,official,-0.72,-0.72,snapshot_orders=1,yes,yes,yes,3
validation_002,B1,ad8a7f5c7869af674e3a,official,2.76,2.76,snapshot_orders=2;3;4,yes,yes,yes,3
validation_002,B1,b55b4fefc9148be667c1,official,1.15,1.15,snapshot_orders=3;4,yes,yes,yes,3
validation_002,B1,bc696217068415ca73e2,official,-4.03,-4.03,snapshot_orders=2,yes,yes,yes,3
validation_002,B1,cb0d5147421c66597d95,official,1.18,1.18,snapshot_orders=3,yes,yes,yes,3
validation_002,B1,cfe502c53f19a90449e6,official,1.13,1.13,snapshot_orders=2,yes,yes,yes,3
validation_002,B1,d3d17696ddd6a7bcb743,official,-0.69,-0.69,snapshot_orders=3;4,yes,yes,yes,3
validation_002,B1,d99bc3566095bc6ee582,official,51.16,51.16,snapshot_orders=2;3,yes,yes,yes,3
validation_002,B1,deabb3549fa520121850,official,19.30,19.30,snapshot_orders=2,yes,yes,yes,3
validation_002,B1,df8ae4a2843995c9185d,official,-0.19,-0.19,snapshot_orders=3;4,yes,yes,yes,3
validation_002,B1,e06e475e6f5cb8748897,official,-4.07,-4.07,snapshot_orders=3;4,yes,yes,yes,3
validation_002,B1,e313de2e0e1a97bc17ff,official,51.20,51.20,snapshot_orders=1,yes,yes,yes,3
validation_002,B1,edde0b27f2f31f5fb962,official,13.10,13.10,snapshot_orders=2;3;4,yes,yes,yes,3
validation_002,B1,f2b9db071dd4766d6307,official,4.18,4.18,snapshot_orders=2,yes,yes,yes,3
validation_002,B1,f4b6cbcb460eaef0f82e,official,4.18,4.18,snapshot_orders=1,yes,yes,yes,3
validation_002,B1,f831d08aa91c95864cd0,official,2.52,2.52,snapshot_orders=1,yes,yes,yes,3
validation_002,B2,05a8528c88245297d4ba,official,13.21,,,no,no,not_applicable,3
validation_002,B2,09bd4158de9b28a03d83,official,-1.17,,,no,no,not_applicable,3
validation_002,B2,1721995859418ecf608c,official,-0.21,-0.21,current,yes,yes,yes,3
validation_002,B2,211b04665de26cd11d77,official,-3.03,,,no,no,not_applicable,3
validation_002,B2,238bbedcececb0d35387,synthetic,1.19,,,no,no,not_applicable,3
validation_002,B2,2766cbe2cf960f73ba05,official,19.30,,,no,no,not_applicable,3
validation_002,B2,27f750d142897641b3b1,official,3.68,,,no,no,not_applicable,3
validation_002,B2,356dadeceba952eb2a0c,official,3.68,3.68,current,yes,yes,yes,3
validation_002,B2,463dda3fe5140e2fbed2,official,1.16,1.16,current,yes,yes,yes,3
validation_002,B2,49b82f2b710bfb946f9f,official,4.14,,,no,no,not_applicable,3
validation_002,B2,4a1084035729f4017f16,synthetic,51.17,51.17,current,yes,yes,yes,3
validation_002,B2,4af2e0e7825c9f2ac443,official,19.25,,,no,no,not_applicable,3
validation_002,B2,506a60e86fb32d9c608b,official,3.66,,,no,no,not_applicable,3
validation_002,B2,5fab5a82719cacffcbe4,official,-1.14,-1.14,current,yes,yes,yes,3
validation_002,B2,69745dd19d776c69570e,official,11.05,11.05,current,yes,yes,yes,3
validation_002,B2,69a1ecde0bf18c3a84ae,official,-0.72,-0.72,current,yes,yes,yes,3
validation_002,B2,6ad6dfc4b05d0f292d1f,official,11.05,,,no,no,not_applicable,3
validation_002,B2,6fbf4aae1b9a6de0051a,official,1.13,,,no,no,not_applicable,3
validation_002,B2,72e8553f361951a0c2c8,official,-0.21,,,no,no,not_applicable,3
validation_002,B2,74fed6e1c3d917191be6,official,-3.26,-3.26,current,yes,yes,yes,3
validation_002,B2,87cdfc70ee6d45666fec,official,12.04,,,no,no,not_applicable,3
validation_002,B2,9fcd6d7d4f2e24e56db1,official,-1.14,,,no,no,not_applicable,3
validation_002,B2,9fe0a3bb2baed4ce3810,official,1.16,,,no,no,not_applicable,3
validation_002,B2,a16c09b869c2ad72a4ea,official,-4.03,,,no,no,not_applicable,3
validation_002,B2,a34fc65bf470c1e7ce20,official,-0.72,,,no,no,not_applicable,3
validation_002,B2,ad8a7f5c7869af674e3a,official,2.76,2.76,current,yes,yes,yes,3
validation_002,B2,b55b4fefc9148be667c1,official,1.15,,,no,no,not_applicable,3
validation_002,B2,bc696217068415ca73e2,official,-4.03,-4.03,current,yes,yes,yes,3
validation_002,B2,cb0d5147421c66597d95,official,1.18,,,no,no,not_applicable,3
validation_002,B2,cfe502c53f19a90449e6,official,1.13,1.13,current,yes,yes,yes,3
validation_002,B2,d3d17696ddd6a7bcb743,official,-0.69,,,no,no,not_applicable,3
validation_002,B2,d99bc3566095bc6ee582,official,51.16,,,no,no,not_applicable,3
validation_002,B2,deabb3549fa520121850,official,19.30,19.30,current,yes,yes,yes,3
validation_002,B2,df8ae4a2843995c9185d,official,-0.19,,,no,no,not_applicable,3
validation_002,B2,e06e475e6f5cb8748897,official,-4.07,,,no,no,not_applicable,3
validation_002,B2,e313de2e0e1a97bc17ff,official,51.20,,,no,no,not_applicable,3
validation_002,B2,edde0b27f2f31f5fb962,official,13.10,13.10,current,yes,yes,yes,3
validation_002,B2,f2b9db071dd4766d6307,official,4.18,4.18,current,yes,yes,yes,3
validation_002,B2,f4b6cbcb460eaef0f82e,official,4.18,,,no,no,not_applicable,3
validation_002,B2,f831d08aa91c95864cd0,official,2.52,,,no,no,not_applicable,3
validation_002,B3,05a8528c88245297d4ba,official,13.21,13.21,vintage_key,yes,yes,yes,3
validation_002,B3,09bd4158de9b28a03d83,official,-1.17,-1.17,vintage_key,yes,yes,yes,3
validation_002,B3,1721995859418ecf608c,official,-0.21,-0.21,vintage_key,yes,yes,yes,3
validation_002,B3,211b04665de26cd11d77,official,-3.03,-3.03,vintage_key,yes,yes,yes,3
validation_002,B3,238bbedcececb0d35387,synthetic,1.19,1.19,vintage_key,yes,yes,yes,3
validation_002,B3,2766cbe2cf960f73ba05,official,19.30,19.30,vintage_key,yes,yes,yes,3
validation_002,B3,27f750d142897641b3b1,official,3.68,3.68,vintage_key,yes,yes,yes,3
validation_002,B3,356dadeceba952eb2a0c,official,3.68,3.68,vintage_key,yes,yes,yes,3
validation_002,B3,463dda3fe5140e2fbed2,official,1.16,1.16,vintage_key,yes,yes,yes,3
validation_002,B3,49b82f2b710bfb946f9f,official,4.14,4.14,vintage_key,yes,yes,yes,3
validation_002,B3,4a1084035729f4017f16,synthetic,51.17,51.17,vintage_key,yes,yes,yes,3
